Ion name,Ion mass,Charge ,Mult,Mass,Ion polarity
[M+3H]3+,M/3 + 1.007276 ,3+,0.33,1.007276,pos
[M+2H+Na]3+,M/3 + 8.334590 ,3+,0.33,8.33459,pos
[M+H+2Na]3+,M/3 + 15.7661904 ,3+,0.33,15.662453,pos
[M+3Na]3+,M/3 + 22.989218 ,3+,0.33,22.989218,pos
[M-3H]3-,M/3 - 1.007276 ,3-,0.333333333333333,-1.007276,neg
[M+2H]2+,M/2 + 1.007276 ,2+,0.5,1.007276,pos
[M+2K]2+,M/2 + 38.963158 ,2+,0.5,38.963158,pos
[M+Na+K]2+,M/2 + 31.04403464,2+,0.5,31.04403464,pos
[M+H+NH4]2+,M/2 + 9.520550 ,2+,0.5,9.52055,pos
[M+H+Na]2+,M/2 + 11.998247 ,2+,0.5,11.998247,pos
[M+H+K]2+,M/2 + 19.985217 ,2+,0.5,19.985217,pos
[M+ACN+2H]2+,M/2 + 21.520550 ,2+,0.5,21.52055,pos
[M+2Na]2+,M/2 + 22.989218 ,2+,0.5,22.989218,pos
[M+2ACN+2H]2+,M/2 + 42.033823 ,2+,0.5,42.033823,pos
[M+3ACN+2H]2+,M/2 + 62.547097 ,2+,0.5,62.547097,pos
[2M+H+K]2+,M + 19.985217 ,2+,0.5,20.052788,pos
[3M+2H]2+,3M/2 + 1.007276 ,2+,0.5,1.007276,pos
[3M+H+Na]2+,3M/2 + 11.998247 ,2+,0.5,11.998247,pos
[3M+H+K]2+,3M/2 + 19.985217 ,2+,0.5,19.985217,pos
[3M+H+NH4]2+,3M/2 + 9.520550 ,2+,0.5,9.52055,pos
[3M+2Na]2+,3M/2 + 22.989218 ,2+,0.5,22.989218,pos
[3M+Na+K]2+,3M/2 + 31.04403464,2+,0.5,31.04403464,pos
[3M+2K]2+,3M/2 + 39.0983 ,2+,0.5,39.0983,pos
[M-2H]2-,M/2 - 1.007276 ,2-,0.5,-1.007276,neg
[M+H]+,M + 1.007276 ,1+,1,1.007276,pos
[M+NH4]+,M + 18.033823 ,1+,1,18.033823,pos
[M+Na]+,M + 22.989218 ,1+,1,22.989218,pos
[M+CH3OH+H]+,M + 33.033489 ,1+,1,33.033489,pos
[M+K]+,M + 38.963158 ,1+,1,38.963158,pos
[M+ACN+H]+,M + 42.033823 ,1+,1,42.033823,pos
[M+2Na-H]+,M + 44.971160 ,1+,1,44.97116,pos
[2M+2Na-H]+,2M + 44.971160 ,1+,1,44.97116,pos
[M+IsoProp+H]+,M + 61.06534,1+,1,61.06534,pos
[M+ACN+Na]+,M + 64.015765 ,1+,1,64.015765,pos
[M+2K-H]+,M + 76.919040 ,1+,1,76.91904,pos
[M+DMSO+H]+,M + 79.02122 ,1+,1,79.02122,pos
[M+2ACN+H]+,M + 83.060370 ,1+,1,83.06037,pos
[M+IsoProp+Na+H]+,M + 84.05511,1+,1,84.05511,pos
[2M+H]+,2M + 1.007276 ,1+,2,1.007276,pos
[2M+NH4]+,2M + 18.033823 ,1+,2,18.033823,pos
[2M+Na]+,2M + 22.989218 ,1+,2,22.989218,pos
[2M+K]+,2M + 38.963158 ,1+,2,38.963158,pos
[2M+ACN+H]+,2M + 42.033823 ,1+,2,42.033823,pos
[2M+ACN+Na]+,2M + 64.015765 ,1+,2,64.015765,pos
[3M+H]+,3M + 1.007276 ,1+,3,1.007276,pos
[3M+Na]+,3M + 22.989218 ,1+,3,22.989218,pos
[3M+K]+,3M + 38.963158 ,1+,3,38.963158,pos
[3M+NH4]+,3M + 18.033823 ,1+,3,18.033823,pos
[3M+2Na-H]+,3M + 44.971160 ,1+,3,44.97116,pos
[3M+2K-H]+,3M + 76.919040 ,1+,3,76.91904,pos
[M-H2O-H]-,M- 19.01839,1-,1,-19.01839,neg
[M-H]-,M - 1.007276 ,1-,1,-1.007276,neg
[M+Na-2H]-,M + 20.974666 ,1-,1,20.974666,neg
[M+Cl]-,M + 34.969402 ,1-,1,34.969402,neg
[M+K-2H]-,M + 36.948606 ,1-,1,36.948606,neg
[M+FA-H]-,M + 44.998201 ,1-,1,44.998201,neg
[M+Hac-H]-,M + 59.013851 ,1-,1,59.013851,neg
[M+Br]-,M + 78.918885 ,1-,1,78.918885,neg
[M+TFA-H]-,M + 112.985586 ,1-,1,112.985586,neg
[2M-H]-,2M - 1.007276 ,1-,2,-1.007276,neg
[2M+FA-H]-,2M + 44.998201 ,1-,2,44.998201,neg
[2M+Hac-H]-,2M + 59.013851 ,1-,2,59.013851,neg
[3M-H]-,3M - 1.007276 ,1-,3,-1.007276,neg
