mz,mzmin,mzmax,rt,rtmin,rtmax,npeaks,PA14_Si11_10uM,PA14_Si11_4uM,PA14_Si11_8uM,ms_level,X1,X2,X3,X4,X5,X6,X7,X8,X9,isotopes,adduct,pcgroup
77.03868231,77.03862184,77.03885519,507.4077148,507.178009,507.6645813,9,3,3,3,1,20103.93529,20231.34994,19558.54394,10866.66815,9942.735115,10991.59779,20626.93568,21433.55344,21078.7006,,,8
79.02127641,79.02114824,79.02151812,85.69576263,85.43499756,85.93900299,9,3,3,3,1,268254.9383,265303.8963,266453.604,132457.1943,122140.7419,130890.2984,257830.1091,252923.7455,259217.7811,,[M+H]+ 78.0131 [M+2H]2+ 156.029,31
81.01714024,81.01694845,81.01727819,85.69576263,85.43499756,85.93900299,9,3,3,3,1,21815.88574,22257.85342,22194.78126,10548.41594,9909.165724,10429.9086,21159.06145,22207.70363,21879.02309,,,31
84.044428,84.04439871,84.04461078,71.63380432,71.38818359,71.68299866,9,3,3,3,1,9604.222207,9325.09,9791.123556,10302.5516,9774.106667,10935.94773,9851.295152,10280.77172,9532.49025,,[M+H-H2O]+ 101.048,54
84.95967393,84.95954673,84.95994966,62.26939392,62.20095444,62.30818939,7,3,1,3,1,20508.88376,20297.54016,19974.63652,12903.4283,12631.91911,12681.94271,15076.34327,15457.79713,14842.34194,,,96
86.09645658,86.09640651,86.09667602,122.883606,121.83255,125.1636047,7,3,2,2,1,69019.83,59304.70723,67603.93956,32726.77444,53053.92969,32614.51329,57667.84375,58622.90351,59295.01683,,,363
89.03865198,89.03854435,89.03873162,516.5899658,516.3179321,516.8356323,9,3,3,3,1,21314.50825,21706.96276,20865.16322,12495.05045,11957.22109,12492.28977,21914.17703,23526.63266,23176.52461,,,14
89.50680348,89.50674331,89.50696612,1645.318542,1645.061523,1646.835,8,3,3,2,1,242763.0933,210193.835,206252.0132,432763.8465,516827.1708,429429.5712,370677.186,310623.9103,385356.4607,,[3M+2H]2+ 59.0036,47
90.50699091,90.50682552,90.50714683,1643.537781,1643.513062,1643.859375,8,3,3,2,1,66280.48058,65814.59805,65149.73963,78803.32123,73670.06436,77981.30575,74713.8015,69863.79169,77124.98007,,,315
90.97663841,90.97652919,90.97675004,65.83061981,65.52590942,66.0614624,9,3,3,3,1,24026.79341,24611.81622,24894.72,22811.27356,24874.02083,25479.60011,24823.51931,25294.66647,24961.43118,,[M+2Na]2+ 135.975 [M+H-HCOOH]+ 135.975,83
90.97667675,90.97666487,90.9769203,1640.206,1640.175659,1640.243652,7,3,2,2,1,103217.5089,102740.2749,113685.6551,102635.7206,93907.06513,94597.59154,102056.2838,74675.41374,107719.137,,[M+2Na]2+ 135.975 [M+H-HCOOH]+ 135.975,32
90.97663904,90.9766219,90.97665223,4.939370155,4.931148529,5.228487492,3,3,0,0,1,419717.0679,423011.0046,431811.2711,259.019065,800.6531346,641.9655651,367.1346205,267.2906444,914.9764373,,[M+2Na]2+ 135.975 [M+H-HCOOH]+ 135.975,20
90.97664014,90.97662986,90.97664334,1459.677856,1453.081177,1463.476,6,0,3,2,1,191256.8701,190702.8634,190969.0342,121789.1902,76872.44516,85000.06639,59834.16273,203045.0142,171366.1463,,,133
91.05422954,91.05416094,91.0543014,491.1776428,490.872,491.4045715,9,3,3,3,1,20064.27238,19090.00013,20112.43985,10911.195,10222.99212,11170.24194,22577.41487,21613.56154,22320.81,,,21
91.05426389,91.05418837,91.05434497,537.2514648,536.5419312,537.2717896,9,3,3,3,1,65094.64548,61662.17451,64264.70078,39962.17782,39068.09553,39701.84142,63443.19562,73891.12923,73332.28433,,,1
91.05426526,91.05420975,91.05435303,680.2237549,679.9442749,681.4788208,9,3,3,3,1,28914.50605,28085.1375,29020.44044,14368.71882,14090.69459,14972.80156,32071.27397,32492.84488,31444.29382,,[M+2H-C2H4]2+ 208.126,2
92.02568797,92.02562401,92.02573003,507.4077148,507.178009,507.6645813,9,3,3,3,1,43664.77082,41077.77032,41147.91226,24877.52471,25489.13434,25796.7707,47017.2366,47625.91886,48837.54253,,[M+3H-C2H4]3+ 301.085,8
96.92175217,96.92149848,96.92180379,67.59300232,67.32467651,67.61003876,9,3,3,3,1,15016.36675,13763.24444,14352.60589,10671.559,14287.35944,13943.65412,14585.51822,14239.71671,14443.23111,,[M+Na]+ 73.9315,85
97.96875985,97.96860495,97.9689675,1644.101624,1644.023,1644.303711,8,3,3,2,1,63228.23805,58896.8389,60464.5827,110013.3238,110819.4017,103719.776,107474.1944,97347.27059,110757.013,,[M+K]+ 59.0036,47
