correlation group ID,row ID,row identity (all IDs),row m/z,row retention time,Pool_4um_A,Pool_10um_A,Pool_10um_B,Pool_8um_A,Pool_10um_C
1,1,,97.96878837,0.9568833,213.29057,166.74203,186.9503,227.22026,149.90636
,2,,186.9563168,0.95883673,430.29282,317.47522,142.23526,176.71536,208.79842
,4,,113.9637476,0.96329325,184.63141,22.20229,120.03661,147.45996,90.605804
1,5,,141.9586997,0.9756033,816.8172,584.3345,566.43335,793.215,568.1852
4,6,,112.0063612,1.0383466,52.463802,57.4627,59.069427,53.625244,63.220463
4,9,,82.5372411,1.03834,89.88637,76.056786,74.46961,82.549286,77.88287
4,10,,84.95982887,1.03834,129.92505,209.07231,192.22108,139.74254,200.84084
4,11,,110.0087928,1.03834,422.32892,471.2855,497.0525,408.20706,491.68805
4,12,,125.9864018,1.03834,121.23966,181.43967,188.6373,118.92572,196.10054
4,13,,128.0194323,1.03834,81.915504,80.651245,67.56343,77.92822,88.75962
4,14,,61.00748792,1.03834,94.72452,136.8134,122.56317,110.352684,125.69366
4,15,,111.0100633,1.0404034,50.712772,60.241142,65.42706,48.80716,70.9377
4,16,,70.01268665,1.0404867,58.5588,95.284454,89.51785,73.776085,80.75316
80,21,,378.9001676,1.0930333,107.398575,91.10484,100.89583,92.92354,85.75313
80,22,,242.9256176,1.0930333,582.6068,509.0534,541.5582,574.3462,551.1768
80,23,,446.8876187,1.0930333,119.96569,99.4312,104.1333,117.93559,100.40263
80,25,,106.9506853,1.0951667,80.68436,78.98069,97.396904,104.05287,85.00791
80,26,,174.9381732,1.09732,93.62845,85.604004,83.22441,106.36768,88.48609
80,27,,258.899561,1.0994033,309.77332,248.76927,251.3356,312.58853,263.8943
80,28,,122.9246126,1.1015,142.35587,128.5858,124.01947,131.65948,131.3747
,29,,216.9228169,1.1098766,87.07927,95.39266,93.97906,94.00093,101.967064
,30,,232.8967222,1.1098866,150.35712,160.4897,168.61005,170.9712,158.4885
,31,,248.8706961,1.1119634,145.48976,144.08136,154.95828,164.30629,158.79628
34,34,,96.92178034,1.1244833,106.40282,94.47583,99.635735,83.440796,104.7891
34,35,,112.8957841,1.1244833,342.42752,311.09042,367.0355,372.8885,355.82092
34,36,,114.8931151,1.1244833,147.61974,151.36443,166.99033,165.36531,164.02646
34,37,,196.8779394,1.1244833,100.3195,92.28279,107.685265,100.3526,91.05987
34,38,,164.9300698,1.1287401,198.44092,180.15535,196.46957,205.59029,206.42723
34,39,,180.9040191,1.13077,224.75323,207.67374,230.85342,224.9549,217.03406
,41,,142.9481073,1.14343,93.3631,93.418526,105.59534,106.85853,104.17856
,42,,192.024427,1.1602132,97.688545,78.694496,95.955864,97.17041,108.59602
22,45,,98.98424652,1.1687701,1131.7386,936.8772,963.9811,1085.7263,984.8561
22,46,,170.0424921,1.1708767,165.5588,157.60114,157.80594,164.78868,177.89261
22,47,,216.0633495,1.1771834,95.80857,86.20379,90.312386,94.075615,86.32774
,49,,247.0579676,1.1793368,71.62429,69.88528,67.47511,67.08979,79.225296
32,50,,104.0707466,1.1877934,169.18951,143.02884,147.87573,153.11856,150.3648
32,51,,130.0500084,1.1877934,522.2079,477.74173,478.05014,488.231,519.86597
32,52,,148.0606226,1.1877934,1688.1633,1535.3844,1584.9827,1604.0739,1697.1582
32,53,,84.04451878,1.1899,94.989944,86.7339,83.68196,107.748116,92.23171
32,54,,102.0549856,1.1899867,137.86324,139.52565,132.07913,126.23704,137.0646
32,56,,391.1824719,1.1941934,66.28336,71.47843,64.239,70.78632,70.05896
32,59,,176.1032286,1.2005067,105.0403,70.82853,88.97707,86.33508,80.7508
,60,,196.0951929,1.2005,56.379955,46.583267,44.38935,42.723923,57.756992
45,62,,427.0950296,1.2343366,47.008053,57.322075,52.24413,59.381565,46.73313
45,63,,161.0923454,1.2343366,85.94487,66.90755,64.62967,69.204544,67.31053
45,65,,214.0515298,1.2427301,74.9881,64.40993,61.79845,66.62829,64.70248
55,66,,608.0887441,1.249,112.14804,98.014465,111.37775,100.21238,103.99676
55,67,,116.0708214,1.2510967,466.25073,410.36392,426.60956,439.9792,410.21136
60,68,,134.0272104,1.2701032,123.54519,106.311676,105.08383,109.26795,106.77697
60,69,,403.1934457,1.2722499,84.77428,84.24856,75.11842,94.33887,74.420395
68,70,,324.0593756,1.2806067,367.13293,357.12653,362.99686,362.83066,371.87784
68,71,,112.050721,1.2827067,131.17006,120.046364,120.17609,144.17274,113.84413
72,73,,241.082018,1.2890067,84.92424,71.78958,76.3029,75.02043,70.93218
72,74,,277.1032855,1.2911134,1409.9265,1311.1835,1289.2722,1322.3326,1305.1288
72,75,,259.0926987,1.2932334,994.51373,910.5277,905.8672,929.7079,916.8241
,77,,301.1143297,1.3247534,206.96286,187.77278,179.72427,184.43918,192.05919
,78,,325.0430849,1.3436767,156.95029,159.17076,155.77359,161.97664,149.56116
,79,,231.6134583,1.3586633,67.90901,77.22547,67.989494,64.21457,62.981495
,80,,242.5620859,1.3670067,107.02155,94.755806,97.862045,100.860634,104.13106
87,81,,72.08090471,1.3880234,217.58455,221.50024,215.33017,209.9638,225.36101
87,82,,191.0485645,1.3880234,174.41135,196.98859,190.70497,199.34724,195.3263
,83,,484.116361,1.3901067,86.04329,84.69598,93.44395,99.75318,93.82061
87,84,,130.0499303,1.3962834,69.52903,62.939125,71.54409,67.33407,64.780556
87,85,,118.0863459,1.3963567,624.64197,626.5764,593.5372,626.84155,590.5005
87,86,,162.0762921,1.3984867,297.48904,315.7539,287.84006,302.56024,279.86227
8,90,,112.0506433,1.41725,152.79297,149.93947,136.56833,131.61784,137.26077
8,91,,307.0835397,1.41725,598.38104,630.2741,600.0945,595.9284,631.4111
8,92,,316.1616897,1.41725,255.68828,250.66385,254.3834,235.56126,260.50507
8,93,,136.061955,1.4192867,208.06302,202.22206,185.5307,189.5947,168.49747
8,94,,124.0394146,1.4193133,128.64545,114.28868,109.78086,122.68059,122.660126
8,95,,308.0909612,1.4193133,1009.9516,942.9728,1040.2649,1048.8348,905.40063
8,96,,348.0705901,1.4193133,3821.2007,3917.652,3862.939,3904.8762,3831.955
8,97,,388.1352044,1.4193133,76.8951,76.22775,77.14692,80.52561,72.079926
8,98,Trans-Ferulic Acid: [2M+NH4]+: 0.041,406.1458052,1.4193133,988.2672,1009.3534,1000.5363,1019.6543,1042.1619
8,99,,535.1884108,1.4193133,343.2997,336.56665,334.17108,371.8354,331.0693
8,100,,613.1590918,1.4193133,95.92702,109.75051,109.848976,104.82222,116.75226
8,101,,664.1165389,1.4193133,473.55203,504.08014,551.3253,545.117,505.54865
8,102,,350.0752003,1.4193634,54.97515,55.66003,58.42688,68.24892,58.48946
8,103,2-Methoxybenzoic Acid: [M+H-H2O]+: 0.954,135.0442386,1.4234633,281.57874,557.9301,1519.9575,606.13715,503.8733
8,104,L-(+)-Alpha-Phenylglycine: [M+H]+: 0.951;L-(+)-Alpha-Phenylglycine: [2M+2H]+2: 0.951,152.0708023,1.42135,227.75179,546.8215,523.44464,497.57327,534.72754
8,105,,157.0353596,1.42135,321.8546,755.94714,750.03375,730.56085,766.59106
8,106,,332.075664,1.42135,97.58819,89.111824,92.9068,94.91041,100.421776
8,107,,695.133241,1.42135,51.579086,55.4056,55.250305,55.51988,59.395805
8,108,,81.01715175,1.4214267,201.8548,494.5864,482.72354,461.72012,493.75952
8,109,,107.0491546,1.4214267,29.924324,86.12792,75.891884,88.76547,96.559975
8,110,,332.5621224,1.4214267,482.67947,391.978,392.15884,426.0188,390.45178
8,111,,542.0682641,1.4214066,80.74692,70.63799,67.56525,86.04053,56.40834
8,113,,79.02134139,1.4234633,4907.327,11668.521,11675.25,11124.744,11582.979
8,114,L-(+)-Alpha-Phenylglycine: [M-H]-: 0.382,150.0585242,1.4234633,170.28384,158.52478,157.7446,163.50821,181.12009
8,117,,144.9880123,1.4215933,148.47816,372.51837,373.85733,336.18417,324.71057
8,118,,256.9599477,1.4234667,83.338936,88.61189,187.82936,201.3137,191.90831
8,119,,101.0032627,1.4256933,1904.7183,3672.7136,3880.3032,3248.4824,3899.338
8,120,,123.0554564,1.4256933,403.28595,249.76689,229.78835,310.82205,255.49088
8,121,,364.0653508,1.4256933,180.8013,168.84671,164.11731,170.61125,167.41656
8,122,,139.0132329,1.4255767,22.15275,80.58273,67.494415,69.152916,82.70659
8,123,,137.0018087,1.4278066,106.66036,318.47504,323.75183,299.19174,354.22284
8,124,,153.0102037,1.4319999,79.4472,167.66887,153.5731,172.68613,182.34322
8,125,,146.0070785,1.4341433,84.40848,233.22975,226.5594,256.65335,242.81032
,127,,137.0460875,1.4530133,157.50613,152.12888,126.36644,151.74405,133.52046
,128,,308.0910404,1.5419333,136.58165,143.35469,908.0293,150.10266,130.38185
73,129,,406.145511,1.58207,129.95393,162.47118,155.35577,168.06863,138.44373
73,130,L-(+)-Alpha-Phenylglycine: [M+H]+: 0.972;L-(+)-Alpha-Phenylglycine: [2M+2H]+2: 0.972,152.0707158,1.55885,237.0834,208.41306,208.90363,192.89703,231.04527
,131,,372.5449719,1.7044367,68.94959,345.56512,334.78302,364.65463,337.8892
11,132,,428.0366362,1.8582766,335.67496,458.9251,462.8282,487.58844,445.01602
11,133,,332.562026,1.8664967,670.6374,874.32886,897.3884,853.3081,871.26263
11,134,,542.0684251,1.8664967,160.02087,153.16246,151.22641,158.62848,131.72516
11,135,,137.0458452,1.8643467,162.51653,210.108,232.09528,192.62584,159.39569
11,136,,123.0552979,1.8686367,806.99207,737.18884,792.8605,835.7446,764.2202
11,137,,664.1164278,1.87484,782.10394,958.972,956.7625,908.7894,914.27734
,140,,535.1883373,1.94867,239.3406,226.27242,237.23024,248.88414,239.26009
,141,,307.0835159,2.0642898,433.49423,499.53317,472.00266,434.6871,482.65012
50,142,,86.09659994,2.0665803,792.23505,755.0105,796.09454,775.82947,759.1684
,143,,153.0408215,2.0833268,272.10898,361.2294,213.66132,212.17523,349.45874
50,144,,132.1020631,2.0872068,1459.2482,1541.7887,1573.1038,1560.2565,1516.5427
64,145,p-Coumaric Acid: [M+H-H2O]+: 0.996,147.0440401,2.0980334,27.30404,170.29161,160.66449,94.709595,69.89723
64,146,,136.0758449,2.1043034,1021.4988,1049.9102,1070.0138,1098.9404,1034.2103
64,147,p-Coumaric Acid: [M+NH4]+: 0.951,182.0813648,2.1043034,4441.9116,4380.953,4399.254,4451.4263,4247.2837
64,148,,123.0441609,2.1063836,413.99332,385.55228,400.48096,432.87274,379.75616
64,149,,119.0491862,2.10639,146.16905,209.73961,213.64001,224.80112,197.88838
64,150,p-Coumaric Acid: [M+H]+: 0.953;p-Coumaric Acid: [2M+2H]+2: 0.953,165.0548084,2.10639,1302.2385,1222.4675,1240.4044,1281.8721,1209.3544
,151,,288.0648296,2.7032833,112.58336,262.93893,246.7576,145.8031,245.98091
95,153,,120.0808989,3.6806598,2776.9001,2784.7922,2693.4792,2851.1042,2707.9702
95,154,,103.0543236,3.68471,253.776,200.67224,209.71628,235.0872,209.86656
95,155,,166.0864598,3.686893,3504.438,3728.2566,3669.0098,3653.6775,3665.3967
,156,,276.1077699,4.0454936,166.87358,174.88303,41.09709,121.00157,129.47293
,157,,311.1238285,5.2861,117.75788,119.37228,115.90602,107.29261,109.257225
94,158,,479.1871429,5.336287,262.18802,413.63364,414.9821,402.57462,396.31018
94,159,,501.169067,5.3363967,62.957,96.66672,85.44122,93.09748,90.14671
16,162,,597.678011,5.4860334,570.4177,593.7588,555.4304,563.7606,564.01746
16,163,,608.6682374,5.4942765,147.01158,155.73079,149.22133,149.37389,140.80467
33,164,,195.1228358,5.6068964,155.0149,101.954895,103.87033,87.39787,97.327675
33,165,,217.1048644,5.611107,468.56125,303.4843,287.3163,269.6508,284.0401
,166,,525.1826971,5.7095437,443.01627,459.04828,457.4213,437.3299,448.6699
,167,,367.6409614,5.89797,145.21777,77.52248,69.67301,128.85973,68.04077
47,168,,667.2570848,5.9923267,183.02238,199.3598,186.60327,186.81862,193.03262
47,169,,334.1323852,5.9943933,218.64284,241.65565,244.10205,232.27246,242.06378
57,170,,188.0707556,6.0672164,312.70862,320.89075,312.22794,287.59518,323.50635
57,171,,205.0972924,6.067203,176.9966,148.60463,148.2797,161.82036,159.56934
74,173,,261.1309372,6.32225,279.07812,111.24934,123.54643,156.68988,116.22736
74,174,,239.1491647,6.3242564,160.63225,65.1044,61.571404,86.00048,70.23538
74,175,,298.0968528,6.330573,130.4565,134.74065,135.05534,121.435005,137.56279
,176,,223.0537334,6.379023,93.53555,82.16364,103.298294,98.119705,93.02937
,178,,211.0868859,6.4337897,436.73264,1311.2567,1313.7534,1285.479,1267.9526
,179,,553.1771475,6.4443603,34.787643,132.13857,128.57262,119.675575,131.92825
,180,,295.1287674,6.6716995,98.54541,105.5664,96.25457,99.56158,93.97501
,181,,283.1750666,6.8136864,85.7399,49.29588,55.72233,68.678185,54.082203
,182,,305.1568952,6.8178596,111.61953,87.513054,91.26606,127.809204,86.38622
46,183,Kinetin: [M+H]+: 0.953;Kinetin: [2M+2H]+2: 0.953,216.0881743,6.980404,2115.4912,5048.825,4942.377,5015.2417,5181.6426
46,184,,148.0619506,6.986666,26.567488,97.717995,88.69016,102.92604,92.93354
,185,Phlorizin: [M-2H+Na]-: 0.972,457.1117267,7.1735435,195.47905,314.96188,313.10068,294.10187,296.09552
,187,,195.0878877,7.2776594,1913.2701,2186.4023,2137.3142,2123.3884,2255.4524
,188,Trimetoprim: [M+H]+: 0.979;Trimetoprim: [2M+2H]+2: 0.979,291.145252,7.4496675,3421.183,18096.148,17976.143,18150.088,18607.162
,189,,786.1646299,7.692366,241.47472,171.24474,313.5959,54.481136,15.910082
2,194,,385.0593636,8.167447,116.37723,135.87387,145.20496,103.96061,149.62253
2,195,,348.0755,8.167483,374.89493,640.29297,622.23773,362.76764,682.4449
2,196,,517.1077502,8.167517,756.6238,1136.7354,1132.0924,664.6227,1200.9436
2,198,,531.0963084,8.16536,334.49414,498.9175,480.55228,291.9655,523.62256
2,199,,679.1660609,8.169594,106.79897,202.84344,199.24135,131.93256,216.20514
2,200,,537.1135238,8.167494,69.74036,126.092964,119.11902,81.61862,126.57712
2,201,,546.0610127,8.167467,245.80788,328.3871,339.2572,210.90782,341.08826
2,202,,91.05435061,8.169583,73.85281,123.47258,113.708755,153.75783,131.17558
2,203,p-Coumaric Acid: [M+Na]+: 0.944,187.0367855,8.173777,1016.80133,2133.32,2182.6562,1505.0181,2235.5295
2,204,,430.0993949,8.171683,91.3809,160.83508,155.43736,108.134995,168.48907
2,205,,547.0674088,8.171683,207.36179,379.6245,383.78885,238.9907,388.33575
2,206,,549.1068316,8.167503,129.7414,159.49976,158.81,110.71235,188.16422
2,207,,515.1187291,8.173714,112.18941,174.8991,161.81331,93.82993,168.15822
2,208,,443.1057496,8.173743,1070.717,1141.9785,1153.5184,791.3672,1136.5908
2,209,p-Coumaric Acid: [M+H]+: 0.947;p-Coumaric Acid: [2M+2H]+2: 0.947,165.0548337,8.175857,4508.5825,8496.93,8505.824,8385.368,8554.395
2,210,,681.156363,8.175883,147.46147,230.35823,235.74854,155.2978,245.79558
2,211,,695.1436069,8.173777,268.7621,444.65884,442.1349,294.3748,527.239
2,212,,119.0492555,8.175857,767.2115,1274.6149,1212.2318,1326.7476,1242.1526
2,213,p-Coumaric Acid: [M+H-H2O]+: 0.956,147.0442301,8.175857,5991.4004,10712.693,10690.078,10888.846,10885.155
