,mz,mzmin,mzmax,rt,rtmin,rtmax,npeaks,knockout,wildtype,ms_level,A_1,A_2,A_3,A_4,A_5,B_1,B_2,B_3,B_4,B_5,isotopes,adduct,pcgroup
FT71,127.0399074,127.0398524,127.0399807,5.620810986,4.620999813,5.637624741,10,5,5,1,8327.627,8120.430182,7994.046364,7718.2875,8238.88,8338.374,8535.18825,7301.573333,7960.993364,6624.342,,[M+Cl]- 92.0705 [M-H]- 128.047,11
FT301,195.0272084,195.0270622,195.0272573,5.620810986,4.620999813,5.637624741,10,5,5,1,5799.973091,6087.156727,6025.151727,5712.7125,5967.015636,5437.946818,5519.993818,4635.501,6528.8405,3603.056625,,[M+Cl+NaCOOH]- 92.0705 [M-H+NaCOOH]- 128.047,11
FT330,206.9724845,206.9724694,206.9725956,5.622550964,4.620999813,6.124584198,11,5,5,1,42341.4779,42307.25943,42258.0672,43126.59905,43606.40329,43624.61486,41211.872,36651.48714,43297.89429,32398.34474,,,11
FT45,113.9889641,113.9889285,113.9890315,5.879271507,5.320420265,6.145960331,10,5,5,1,41402.5782,39732.6504,39007.588,39942.53782,39624.86,39777.4356,40364.9724,34751.88291,40695.33015,31273.40084,[3][M+1]-,,11
FT1600,656.885027,656.8849037,656.8851337,5.883532047,5.111233711,6.145960331,10,5,5,1,1099010.683,1060544.682,1041293.233,1050968.608,1065160.866,1067784.25,1020917.317,864765.9833,1054634.624,795404.704,[229][M]-,[2M-2H+Na]- 317.955 [M-H+NaCOOH]- 589.905,11
FT46,114.9898078,114.9897594,114.9898557,6.124031544,5.320420265,6.145213604,10,5,5,1,15500.26222,15987.475,14661.19029,15347.3868,15303.464,15587.5367,14451.2394,11623.7815,14919.57129,11097.17867,[3][M+2]-,,11
FT41,112.9856451,112.9856057,112.9856813,6.131999969,5.320420265,6.145960331,11,5,5,1,1712953.07,1682228.506,1646906.852,1698556.285,1690095.66,1677590.077,1650772.773,1427341.2,1666905.185,1269811.846,[3][M]-,[M-H]- 113.993,11
FT241,180.9730429,180.9729441,180.9730991,6.131999969,5.320420265,6.145960331,11,5,5,1,597751.479,598580.178,576283.2373,594041.3894,600158.8233,592705.564,566760.7263,460651.4841,584007.3125,430481.1991,[17][M]-,[M-H+NaCOOH]- 113.993 [M-H]- 181.98,11
FT245,181.9762152,181.9761523,181.9764161,6.131999969,5.320420265,6.145960331,10,5,5,1,20461.0185,19806.56737,18952.52289,19083.84795,19821.38368,19715.91242,19621.21926,16172.4519,20281.95084,13818.29169,[17][M+1]-,,11
FT471,248.9604681,248.9603932,248.960544,6.131999969,5.320420265,6.145960331,10,5,5,1,1755236.535,1758963.012,1690285.442,1757657.098,1762464.421,1726935.264,1687740.058,1377802.36,1748775.69,1255206.705,[40][M]-,[2M-2H+Na]- 113.993 [M-H+NaCOOH]- 181.98 [M-H]- 249.968,11
FT486,249.9636951,249.9635563,249.9637502,6.131999969,5.320420265,21.33687782,11,5,5,1,80705.22133,80163.64943,75741.8955,77874.98057,81135.9939,78953.6244,75429.1218,60519.3336,78995.80665,56368.78839,[40][M+1]-,,11
FT489,250.9645333,250.9644398,250.9646169,6.131999969,5.320420265,6.145960331,10,5,5,1,28044.7494,27947.302,27239.86543,27768.8919,27716.15,27623.4441,27941.14743,20992.51263,27556.23015,19592.14138,[40][M+2]-,,11
FT739,316.9479128,316.9478643,316.9479524,6.131999969,5.320420265,6.145960331,10,5,5,1,1511880.619,1481209.031,1428551.054,1483423.841,1497561.57,1476108.467,1434245.773,1155009.745,1479672.886,1076456.986,[78][M]-,[M-H+NaCOOH]- 249.968 [M-H]- 317.955,11
FT754,317.9510142,317.9509777,317.9510872,6.131999969,5.320420265,6.145960331,10,5,5,1,79681.6386,79324.071,76702.18675,76833.7884,80163.64495,76993.4991,77104.8984,63687.57,78285.28455,59757.29811,[78][M+1]-,,11
FT759,318.9519279,318.9517646,318.9520004,6.131999969,5.320420265,6.145960331,10,5,5,1,29873.1377,29874.9116,28233.45758,30524.2695,29254.896,29705.0334,28850.505,22332.92232,30383.6634,20570.46212,[78][M+2]-,,11
FT1019,384.9353624,384.9353096,384.9354029,6.131999969,5.320420265,6.145960331,10,5,5,1,995730.5357,999506.0736,951433.26,990541.0467,994524.784,984940.4418,948936.1266,778253.8698,988548.4881,724362.3436,[134][M]-,[2M-2H+Na]- 181.98 [M-H+NaCOOH]- 317.955 [M-H]- 385.943,11
FT1021,385.938424,385.9383663,385.9384771,6.131999969,5.320420265,6.145960331,10,5,5,1,63174.93895,62984.16924,60027.70114,63426.278,64341.97943,62115.6774,61341.75771,49139.025,63858.51386,45132.89305,[134][M+1]-,,11
FT1022,386.9392747,386.9392076,386.9395036,6.131999969,5.320420265,6.145960331,10,5,5,1,22925.06378,23494.06526,22550.99416,22537.36832,22824.76158,24143.69,21899.80921,18172.29874,23118.07842,16639.208,[134][M+2]-,,11
FT1201,452.9227947,452.9227282,452.9228484,6.131999969,5.320420265,6.145960331,10,5,5,1,1271976.336,1259739.95,1213704.256,1245208.089,1262172.472,1251099.444,1211699.008,989510.5935,1258041.031,906543.1604,[162][M]-,[M-H+NaCOOH]- 385.943 [M-H]- 453.93,11
FT1223,453.9258569,453.925812,453.9258978,6.131999969,5.320420265,6.145960331,10,5,5,1,91692.6341,91490.0818,86241.7555,91555.6572,93094.386,90399.0759,89429.2488,69662.73,92536.6599,65357.55284,[162][M+1]-,,11
FT1230,454.9266638,454.9264288,454.9268011,6.131999969,5.320420265,6.145960331,10,5,5,1,35645.208,33390.4706,32697.666,33185.24325,34932.2179,33761.931,32280.445,27118.80105,33255.26358,23695.07647,[162][M+2]-,,11
FT1360,520.9102112,520.9101529,520.9102327,6.131999969,5.320420265,6.145960331,10,5,5,1,1264256.756,1250099.371,1198426.757,1240467.268,1260840.174,1237388.183,1199555.304,990930.8772,1243896.284,910008.8799,[186][M]-,[2M-2H+Na]- 249.968 [M-H+NaCOOH]- 453.93 [M-H]- 521.917,11
FT1362,521.9132652,521.9131296,521.9133283,6.131999969,5.320420265,6.145960331,10,5,5,1,104793.4646,104744.4226,103537.133,104825.7189,104803.732,103769.7318,100289.25,82102.7988,106725.8772,76530.23811,[186][M+1]-,,11
FT1363,522.9139981,522.9138351,522.9141427,6.131999969,5.320420265,6.145960331,10,5,5,1,36922.596,36622.98962,36108.978,37677.81324,37901.93,36574.47558,36526.4802,29665.3995,37577.826,26798.95447,[186][M+2]-,,11
FT1486,588.897621,588.8975167,588.8976914,6.131999969,5.320420265,6.145960331,10,5,5,1,1365559.707,1353514.513,1297896.208,1337562.291,1365668.7,1346047.853,1301895.753,1064129.26,1350928.404,971240.3003,[207][M]-,[M-H+NaCOOH]- 521.917 [M-H]- 589.905,11
FT1489,589.900714,589.900639,589.9007874,6.131999969,5.320420265,6.145960331,10,5,5,1,128208.6963,128125.8006,123733.1475,126843.4481,130376.972,127511.3889,125627.739,100877.5053,129775.3961,91804.63133,[207][M+1]-,,11
FT1491,590.9012642,590.9009933,590.9014193,6.131999969,5.320420265,6.145960331,10,5,5,1,48072.3684,48584.72048,46078.27075,48293.00124,47594.50819,48950.4981,46248.6084,36484.074,47920.82445,33782.4165,[207][M+2]-,,11
FT1605,657.8879437,657.8877803,657.8881171,6.131999969,5.320420265,6.145960331,10,5,5,1,105337.3683,105766.4404,100922.303,104973.0183,106299.468,104538.4977,104543.5326,85253.8797,107554.6512,77330.56358,[229][M+1]-,,11
FT1811,883.5081323,883.5074738,883.5089615,6.131999969,5.320420265,6.650352478,10,5,5,1,7605,7469.739429,6736.1935,7674.408,7419.538286,7315.911,7175.966769,6106.051929,7911.366071,5046.4065,,,11
FT1821,906.1706964,906.1702529,906.1714279,6.131999969,5.320420265,6.145960331,10,5,5,1,14712.34013,14213.475,13536.3346,14669.9696,14938.56187,14389.22447,14076.6924,11240.284,14967.68338,9668.557385,[271][M]3-,,11
FT249,182.977135,182.9770018,182.9773095,6.131999985,5.320420265,6.145960331,8,3,5,1,6003.894,6828.275429,6187.457214,5917.464,6557.945625,5975.443385,6566.800733,4581.806657,6364.467857,3910.113547,[17][M+2]-,,11
FT1653,690.8782307,690.8780158,690.878366,6.131999985,5.320420265,6.630000114,10,5,5,1,201495.2845,202300.8052,190776.1725,197046.2412,200016.234,199017.2457,189905.2008,161250.4179,201751.8912,147864.7936,,[M+Cl+NaCOOH]- 587.921 [M-H+NaCOOH]- 623.898 [M+Cl]- 655.909 [M-H]- 691.886,11
FT1658,691.3796669,691.379536,691.3799322,6.131999985,5.320420265,6.650352478,10,5,5,1,47912.514,48112.65789,44095.41141,47354.244,46571.07158,48137.52611,46050.43916,38478.47467,47838.95775,35633.479,,[M+Cl]- 656.41 [M-H]- 692.387,11
FT1846,951.4955589,951.4950268,951.4959006,6.131999985,5.320420265,6.626180649,10,5,5,1,29660.91313,30836.7,28910.44375,30694.104,31832.09167,29874.31875,29368.47681,24100.61563,31751.00911,21888.58227,[276][M]3-,,11
FT1822,906.5054182,906.5047532,906.5056839,6.135635614,5.320420265,6.650352478,8,3,5,1,7291.674,7104.707429,6584.329214,7053.112308,6974.002286,6810.100786,6369.099692,4447.336519,7199.823214,4397.422442,[271][M+1]3-,,11
FT1858,974.8262365,974.8255936,974.8268275,6.135635614,5.320420265,6.648434162,10,5,5,1,11786.80381,11405.1408,11305.78986,10979.136,11380.07653,11460.8342,11345.8686,9566.942,11241.1728,8608.927154,[278][M+2]3-,,11
FT1555,622.8906185,622.8904553,622.8909644,6.13563563,5.320420265,6.632433891,10,5,5,1,19934.38306,19137.82659,18313.57088,19448.7475,20330.71412,19283.58847,18775.49131,15364.9325,19133.37318,14086.37231,,[M+Cl]- 587.921 [M-H]- 623.898,11
FT1734,759.3670947,759.366889,759.3673412,6.13563563,6.018143654,6.630000114,10,5,5,1,82077.248,83792.2984,79552.14875,81238.6458,83572.10053,83151.7239,79495.6932,65531.9808,82378.1142,61575.84141,,[M+Cl+NaCOOH]- 656.41 [M-H+NaCOOH]- 692.387 [M+Cl]- 724.398 [M-H]- 760.374,11
FT1856,974.157987,974.1575192,974.1584143,6.13563563,5.320420265,6.650352478,10,5,5,1,36273.86682,36917.65412,35072.09647,36200.304,36818.09083,35654.93312,36292.58235,30000.69035,37630.33889,25988.96313,[278][M]3-,,11
FT1732,758.8657173,758.8655239,758.8658505,6.138606787,6.018143654,6.64070034,10,5,5,1,328553.8247,321970.5348,307099.6215,317248.605,324902.6,319755.4983,308194.542,254091.9348,320186.7279,235508.5378,,[M+Cl+NaCOOH]- 655.909 [M-H+NaCOOH]- 691.886 [M+Cl]- 723.896 [M-H]- 759.873,11
FT1879,1019.48278,1019.48246,1019.483066,6.142242432,5.320420265,6.650352478,10,5,5,1,41050.33333,40484.72647,38542.32947,40176.03765,40267.36833,41014.57533,38830.03453,32048.02938,40917.74956,28941.07381,[281][M]3-,,11
FT1857,974.4922528,974.4919472,974.4927063,6.142615795,5.547330379,6.648434162,10,5,5,1,19261.944,19124.196,17317.10827,18936.1848,18529.80938,18683.6625,18735.09713,14753.442,19480.83981,13320.796,[278][M+1]3-,,11
FT1836,929.5012197,929.5007932,929.501576,6.145213604,5.320420265,6.638338566,9,4,5,1,7005.726,7397.9976,6950.828357,7591.7244,6847.211429,6868.315429,7178.594143,4853.383525,7174.555357,4565.896364,[274][M+1]3-,,11
FT1606,658.8870342,658.8864271,658.887499,6.145586967,5.547330379,6.64070034,10,5,5,1,40856.66333,40107.90333,37586.34142,39039.3855,40298.34971,40921.7277,38405.106,31086.1881,38753.2701,28717.40667,[229][M+2]-,,11
FT1697,725.3734008,725.3730987,725.3736464,6.145586967,6.018143654,6.64070034,10,5,5,1,76126.7489,73342.3056,70148.89575,71839.22895,74882.434,73429.92721,71346.4032,58301.25558,73937.25315,55012.35133,[247][M+1]2-,,11
FT1937,1269.273325,1269.272726,1269.274345,6.145586967,6.018549919,6.638338566,8,3,5,1,5319.049846,5706.448231,5874.061538,5919.48,5987.963429,5906.585538,5700.076615,4222.171494,5922.280357,4103.646347,[292][M+1]2-,,11
FT1847,951.8299777,951.8298251,951.8304164,6.379090324,5.320420265,6.650352478,10,5,5,1,15977.091,15773.3472,15627.029,15979.8964,15804.65906,15254.83125,15140.44647,12804.836,16039.69033,11173.63414,[276][M+1]3-,,11
FT1834,929.1673801,929.1669335,929.1677802,6.382725954,6.018143654,6.650352478,10,5,5,1,11838.957,11607.7008,10728.70557,11986.5616,11735.4196,11350.42447,10843.0214,9293.196,11875.78773,8629.598714,[274][M]3-,,11
FT1778,826.853125,826.8529407,826.8532766,6.38607049,6.018143654,6.648434162,10,5,5,1,258496.6964,259721.6022,246864.276,256679.798,260580.892,255862.9038,245693.2722,200858.3082,261923.9157,181517.1824,,[M+Cl+NaCOOH]- 723.896 [M-H+NaCOOH]- 759.873,11
FT1864,997.1547466,997.154278,997.1553496,6.38607049,5.320420265,6.648434162,10,5,5,1,20257.692,21853.29375,19883.88133,21755.3375,21526.3125,20685.61807,20499.60613,16536.586,21124.1888,15486.0026,[279][M]3-,,11
FT1818,896.3439783,896.3434528,896.3443033,6.387980165,5.547330379,6.648434162,10,5,5,1,8302.632,8116.266286,8122.7124,8043.6668,8036.317714,8005.778929,7457.511857,6036.104615,8176.678571,5404.771077,,,11
FT1736,760.369003,760.3687236,760.3693174,6.628090324,6.018143654,6.650352478,10,5,5,1,7885.878,8350.0296,8120.183357,8146.5644,7895.382857,8057.884667,8198.766,6798.162214,8022.118867,5451.8175,[253][M+1]2-,,11
