mz,mzmin,mzmax,rt,rtmin,rtmax,npeaks,AR351_A,AR351_B,AR351_C,Cipro_A,Cipro_B,Cipro_C,Coumermycin_A,Coumermycin_B,Coumermycin_C,CN-DM-861_A,CN-DM-861_B,CN-DM-861_C,Levo_A,Levo_B,Levo_C,Lome_A,Lome_B,Lome_C,Novo_A,Novo_B,Novo_C,untreated_A,untreated_B,untreated_C,isotopes,iso_anno,adduct,pcgroup
73.5316067,73.53144597,73.53164681,63.52506256,63.29217529,64.052742,21,4334.087875,7605.857457,4833.037778,5395.250979,7098.655801,7473.456202,2938.500162,1962.625221,4534.934162,7708.120017,8623.620608,10973.7926,5602.564229,8300.97167,8109.704684,3970.256346,5722.890207,7168.103808,4165.394785,1665.43326,4826.188147,6427.53009,9369.74524,10333.34513,,0,,40
79.02100454,79.02090547,79.02106511,86.42102051,85.99799347,86.67062378,23,37789.48412,61768.4832,43539.3601,35211.2066,45152.80612,51764.05904,25918.69145,10992.61204,31286.85905,76780.9854,77470.22419,72305.88344,39300.35028,55290.34771,41274.33723,24595.61163,38178.4752,39151.21938,35946.01166,15374.79288,28704.25094,51483.38811,72103.86887,86187.15334,,0,[M+2H]2+ 156.026,32
80.94752487,80.94741568,80.94760459,69.6562233,69.28070068,70.15803528,24,26898.55763,33222.81992,34493.24588,24378.7834,26940.44086,23305.04954,18129.66956,17671.92362,15339.87705,16168.63153,20581.4031,25767.46236,19694.00342,30481.10361,29850.65962,21618.4147,16829.89937,30592.93942,15893.39189,16229.85151,11969.11354,18157.90949,21876.55079,31241.31641,,0,[M+Na]+ 57.9555,85
81.01663741,81.0165886,81.01665993,86.51439667,86.17964172,86.75440979,4,2554.272901,4867.9648,3098.763078,2263.092234,3330.925231,4089.055032,1629.888567,178.399914,2116.810183,6026.363907,6635.38497,5974.856637,2791.920075,4130.344985,3237.084031,1076.804282,2717.939422,2766.603914,2465.987909,320.9799006,1968.858051,3874.041088,5447.48235,7122.458134,,0,[M+3Na-H]2+ 94.0713,32
82.94453226,82.94441386,82.944572,69.69639206,69.28070068,70.15803528,24,13454.21473,16739.48451,14975.85425,12297.79969,13001.73158,11146.89566,8982.220452,7593.30074,7200.423215,8325.701747,9505.996022,11830.06098,10112.90044,15012.83484,14231.09567,11510.43738,8748.146935,13729.93455,8057.340295,7661.051495,5399.540502,8508.319056,12182.21807,14142.73714,,0,[M+Na]+ 59.9574,85
84.9593298,84.95931169,84.95936683,63.261,63.03833771,63.55893707,7,11209.47539,13136.64832,10100.59844,14043.8631,11971.9513,16264.31267,12741.68657,12896.63692,11209.46021,12445.62965,10292.89887,11623.88891,18033.74523,13559.44586,15787.56212,12065.22307,14781.44189,15464.27013,11021.05911,12635.1142,12384.74529,13433.06679,12918.28375,12887.00505,,0,[M+K]+ 45.996,40
86.09616105,86.09614746,86.09620286,119.2920792,116.2128601,122.3930969,8,67751.75145,70315.38826,55381.67751,22863.21821,36913.71065,19913.26046,17928.98238,9712.478348,14461.80551,40971.98902,37666.73887,107457.0826,26766.19711,61160.37598,43294.91212,27743.99936,28731.59056,40068.33049,38682.06553,22624.60167,32046.83717,66615.96864,84359.33513,99528.81822,,0,,110
87.04374436,87.04366988,87.04381296,73.25827026,72.91890717,73.6280899,8,3847.359736,4390.084597,2881.956614,2936.52707,6015.877866,2799.287286,601.9303808,754.2211599,343.4828276,5604.787234,4450.533518,6426.785565,2626.124813,7502.955194,4435.681592,2647.535794,2464.755294,4508.930086,3116.266227,2257.609716,3543.427066,3510.375412,8717.618655,6599.199933,,0,,39
89.10709226,89.10700688,89.10713878,64.80929184,64.16382599,65.55450439,24,22869.83275,32763.0522,23559.12487,25145.36854,33408.92141,23349.14154,5097.168347,4862.583609,7779.387673,23883.51442,25648.4005,36674.36085,18055.02547,38870.89314,33921.23564,23811.46506,20478.55623,35813.74127,15038.93661,7631.875795,14087.31081,18861.79717,34813.14618,32799.68609,,0,,105
90.97652462,90.97645214,90.97657391,67.34099197,66.93409729,67.8574295,24,59195.54908,62524.75088,63347.1707,60106.38235,60032.78396,68936.2983,69172.59713,67658.34004,62913.51578,56609.99144,53914.68081,49401.61462,66815.3879,62417.67825,73877.45559,68420.65732,68276.54655,74271.99604,62092.05588,72303.03454,65820.10298,63172.3214,60416.67667,61560.04474,,0,[M+2Na]2+ 135.975 [M+H-HCOOH]+ 135.975,19
95.08524934,95.08517547,95.08531512,946.8000488,946.3771973,947.0479126,23,9324.215107,9698.266177,7985.91633,7129.37809,7465.17585,8718.057848,11773.96103,9526.923514,9410.224164,7856.126377,6321.168991,4903.640615,6419.834909,7046.965325,6632.304612,5856.963116,7494.924078,5967.518537,6712.262147,9695.718053,6917.866856,5558.917139,7039.116133,5035.798425,,0,[M+H-CH4]+ 110.11,4
96.9214549,96.92132789,96.92152397,69.6362915,69.28070068,70.15803528,24,18092.9394,23217.74812,17751.15938,13932.26863,22498.08654,17487.97725,6185.5806,5501.574207,6086.247828,17122.92216,21714.31376,30948.18449,19613.48527,31585.86327,23147.16089,17931.0592,14926.4746,21241.42218,13218.93465,8013.317971,10301.96944,22206.83785,31821.78995,34421.76751,,0,[M+K]+ 57.9555,85
