"","mzmed","mzmin","mzmax","rtmed","rtmin","rtmax","npeaks","X1","X2","X3","X4","X5","X6","X7","hm250.Si11mix.20uM.C18.pos_GB5_01_35839.d.mzXML","hm250.Si11mix.20uM.C18.pos_GB5_01_35840.d.mzXML","hm250.Si11mix.20uM.C18.pos_GB5_01_35841.d.mzXML","hm250.Si11mix.20uM.C18.pos_GB5_01_35842.d.mzXML","hm250.Si11mix.20uM.C18.pos_GB5_01_35843.d.mzXML","hm250.Si11mix.20uM.C18.pos_GB5_01_35844.d.mzXML","hm250.Si11mix.20uM.C18.pos_GB5_01_35845.d.mzXML"
"FT0001",61.0073422142259,61.006704300968,61.0075962778707,1722.73852539062,1708.9013671875,1740.1796875,23,1,1,1,1,1,1,1,8147.50100000004,11246.3978709678,6187.1167894737,8815.15717391301,5811.60000000008,6998.41675000002,11387.0906086956
"FT0002",61.0073945035298,61.0069993040505,61.0077352318172,1777.83093261719,1760.17016601562,1801.623,25,1,1,0,1,1,1,1,3487.00566666666,3349.14328571435,NA,5048.53278260871,5881.25999999989,5493.21782608698,5460.8714782609
"FT0003",61.0073021229846,61.0069593611035,61.0075891746766,1679.39050292969,1671.99633789062,1688.00354003906,13,1,0,1,1,1,1,1,8119.28169230769,8110.33281766451,3508.08615384625,8133.4959473684,9309.92300000012,9434.57199999983,8313.03883333335
"FT0004",61.0073919750249,61.006959647931,61.0075733436717,1697.61156689453,1692.2685546875,1706.068,10,1,0,1,1,1,1,1,5937.04366666675,7695.3258220966,1033.90000000006,5736.72233333322,8280.21479999994,6170.99929411764,12966.9716129033
"FT0005",61.0072324441177,61.006984194613,61.0076033082133,1662.92798339844,1658.37377929688,1664.92883300781,8,1,0,1,1,1,1,1,8399.37705,9791.03600278108,7501.04682352943,9391.74,9835.80141176472,11804.5852631578,16062.9228
"FT0006",61.0073996291154,61.0070375127584,61.0075881252846,1748.49438476562,1743.62548828125,1755.517578125,9,1,0,0,1,1,1,1,7294.08289999999,7815.3701410061,NA,10782.26775,8574.47149999998,6171.78020000001,12440.9135483872
"FT0007",61.0073522989462,61.0070176297886,61.0076383507905,1644.13000488281,1642.56896972656,1644.74792480469,7,1,1,1,1,1,1,1,9414.79399999996,9543.23749999991,13085.1449130434,10794.6423529412,15603.4364090909,11537.1376,13085.0539411765
"FT0008",61.0073563446672,61.0072235561638,61.0074393015591,62.4824522399902,61.712833404541,63.1718330383301,6,1,1,1,1,1,1,0,5644.892,6467.576,7185.74527777778,7868.77320000001,10281.4408421053,10061.3132631579,10429.0922151337
"FT0009",64.9773752043221,64.9769107328723,64.9778076457902,1639.64489746094,1638.78771972656,1640.286,7,1,1,1,1,1,1,1,7960.65280000005,9175.98735294104,10220.3905263158,9529.73375000002,12335.9061739131,9643.88693333341,12842.1007916666
"FT0010",68.9936364182837,68.9931911527467,68.9937741080471,1650.86218261719,1649.7490234375,1650.9775390625,7,1,1,1,1,1,1,1,46502.236363636,52522.0263529411,51176.8563870969,56450.6744516127,62463.2622352946,78040.0703260866,74788.6867499998
