correlation group ID,row ID,row identity (all IDs),row m/z,row retention time,Pool-4umSi11_neu MS_GA3_01_50026.mzXML Peak area,Pool-8umSi11_neu MS_GA4_01_50031.mzXML Peak area,Pool-8umSi11_neu MS_GA4_01_50030.mzXML Peak area,Pool-10um Si11 MS_GA2_01_50172.mzXML Peak area,Pool-10um Si11 MS_GA2_01_50173.mzXML Peak area,Pool-4umSi11_neu MS_GA3_01_50025.mzXML Peak area,Pool-10um Si11 MS_GA2_01_50174.mzXML Peak area,Pool-8umSi11_neu MS_GA4_01_50029.mzXML Peak area,Pool-4umSi11_neu MS_GA3_01_50027.mzXML Peak area,
0,1,,151.0351676185607,1.0370296,82.73106,99.03995,91.94571,118.046036,93.35789,83.54822,94.08179,93.98535,100.25218,
0,2,,84.95973427699374,1.0384518,155.36234,204.73021,187.09753,298.0246,287.97067,163.92166,296.76483,206.55438,170.01135,
0,3,,125.98621934568945,1.0389149,235.13098,280.86548,273.2969,390.25974,384.7987,212.89499,381.54468,275.85654,236.89752,
0,4,,128.0192159665843,1.0389222,63.049206,79.24111,77.68468,69.276825,71.38548,73.93615,77.44687,81.21325,80.07839,
0,5,,111.00992939223424,1.0393944,95.32608,114.4821,118.34846,150.82118,147.28584,120.63779,137.7346,114.43925,114.904976,
0,6,,110.00866997793138,1.0403278,906.484,946.6041,934.2641,1057.2734,1053.1672,893.4413,1073.5795,941.6489,983.96265,
0,7,,112.0062615036695,1.0403445,103.94674,110.292274,99.3106,139.38492,120.9331,103.67117,138.92166,96.79823,115.80064,
,8,,164.96997831780084,1.0370296,57.641052,70.82831,78.56021,57.937084,62.703495,71.188255,82.75139,65.542816,68.279526,
,9,,151.94957816832877,1.041252,6.7239103,34.376972,5.9329863,84.49288,36.010406,6.030736,21.05647,0,46.119247,
,10,,149.95273558789572,1.0426927,83.15685,109.239395,79.54508,167.63007,95.32472,71.8136,86.45174,72.5053,99.80526,
,11,,288.92113557565534,1.0781426,33.436028,39.039597,36.8194,53.3313,55.73144,7.351488,56.718983,40.34553,29.381744,
45,12,,786.8246400764048,1.0885296,71.130035,70.89819,69.27128,62.427498,52.31421,49.17768,54.069283,62.09603,71.42362,
,13,,802.7990104381907,1.0908906,47.44487,48.685337,45.624302,27.050606,40.063473,20.41439,41.428585,49.881866,50.32427,
45,14,,718.8371528334862,1.0904183,117.92127,112.96759,122.81059,82.13808,84.03662,87.237114,93.443344,116.50252,110.692245,
,15,,854.8121067806817,1.0871018,39.330647,44.751854,41.633667,39.291344,32.87269,15.250461,40.879635,45.740955,54.842293,
45,16,,650.8496646345661,1.0908834,126.34735,118.7986,130.80676,98.70705,112.40159,100.00898,98.35308,131.09798,126.96179,
45,17,,446.88757747376974,1.0922999,294.51556,264.36697,273.87164,254.3866,248.86577,213.95451,245.67613,274.0163,288.12378,
45,18,,582.8623894450355,1.0922999,140.3008,137.17961,128.32918,110.61981,120.49396,106.43558,112.88844,141.76724,128.81772,
45,19,,734.8116555886128,1.0927758,71.26313,71.747734,61.247894,51.46012,50.68485,36.0499,64.02637,75.34049,74.0603,
,20,,310.9129531521789,1.0955925,58.21091,53.615524,58.196896,39.39249,39.245983,31.807686,44.212307,51.91905,50.661026,
45,21,,514.8749536201454,1.0936999,149.38954,138.59297,140.32596,123.46009,124.52341,109.8639,111.71088,138.74712,157.7126,
45,22,,378.90023429229245,1.0937258,213.59543,208.26796,213.925,185.78416,181.48747,153.10873,190.60104,205.67838,206.91661,
45,23,,666.824102664341,1.0937129,72.550804,70.39625,70.53617,54.18268,54.47592,62.09529,52.512444,79.38129,75.04185,
45,24,,598.8364662299123,1.0951408,79.38467,81.00279,70.56246,62.3126,54.115826,53.45447,53.131466,74.08886,78.62269,
45,25,,462.86156495708593,1.0956036,158.33029,137.68323,146.7717,121.82894,122.347916,89.01668,132.38933,148.59521,147.46794,
,26,,244.92421069185514,1.0951314,61.43578,63.77081,53.796963,57.97296,42.771614,47.957016,48.167206,63.12757,62.966354,
45,27,,530.8489978231124,1.095124,77.43818,69.74601,68.229,59.225056,58.801826,61.03155,60.70618,69.8249,79.59648,
45,28,,174.93799495027275,1.0965407,217.86827,222.80089,220.19995,199.18611,206.75005,178.11714,218.40805,212.86914,214.14626,
45,29,,242.92549167342804,1.0965389,1021.16675,1003.2285,1030.242,965.2274,954.4715,869.55005,988.2773,1012.75616,1015.2976,
,30,,692.833563562725,1.096087,48.926933,43.48652,42.91708,32.694256,39.41479,30.471119,39.831394,45.187325,42.449,
45,31,,394.8741730939457,1.0974833,129.38387,109.443985,111.48139,98.194786,106.41916,90.373146,114.2577,117.79741,123.70305,
45,32,,106.95057086669846,1.0989074,234.61328,229.28691,231.26064,211.2736,213.71085,195.31235,224.30457,227.21608,218.86124,
45,33,,258.8993819032539,1.0998389,545.73315,520.3647,514.42017,498.48627,482.6672,440.7807,483.1596,520.7873,521.45264,
45,34,,260.897843557554,1.0984296,56.19338,50.439064,56.172607,49.213406,58.02871,57.50038,50.871372,58.359238,57.01132,
45,35,,708.8082503347551,1.0993723,51.18982,49.976326,51.386734,43.206535,36.4956,44.272797,43.797043,51.49453,51.7207,
,36,,640.8211375580819,1.1003019,49.163696,26.160835,48.179028,46.50076,48.388706,42.837486,53.072556,58.225407,54.248783,
45,37,,274.8732982855837,1.1017222,142.73422,130.26968,136.98839,130.32802,132.01225,117.4898,134.407,150.00116,135.37364,
,38,,504.8463733274767,1.1040666,52.29356,40.538746,44.890114,36.088253,46.953342,30.412735,43.234337,41.35197,43.034668,
45,39,,190.91193589151328,1.1035925,72.49634,65.25948,72.7366,71.60687,61.075294,61.795845,65.83847,79.624954,67.2936,
45,40,,122.92447050972535,1.1045333,376.99808,370.16858,367.76923,345.5815,338.8216,342.41663,356.8021,366.73642,376.34607,
45,41,,436.85875675115716,1.1054722,67.067986,65.337494,67.194466,63.752224,52.033077,45.941936,60.61631,62.79615,53.5095,
,42,,420.8848388254753,1.1040592,32.73706,39.52051,39.474873,40.341377,39.941555,28.349169,26.488834,38.498005,39.2164,
,43,,572.8335847020383,1.1031259,46.713844,43.4019,44.53353,43.769062,37.171486,31.522001,43.90488,44.430756,45.560173,
,44,,659.9853045142276,1.1087111,0,0,0,347.20215,328.6353,0,281.9589,0,0,
,45,,368.87136990369504,1.1073666,43.835186,39.89383,42.798607,46.972572,35.05678,23.373667,41.249325,40.988544,45.11558,
18,46,,266.84191315389006,1.1121056,69.506935,68.57898,69.40754,65.35876,69.071014,29.841661,69.85091,67.684586,74.42236,
18,47,,250.8679080471993,1.1120963,102.08583,102.86173,118.40939,114.70807,106.76082,86.25818,120.3233,104.044395,114.962944,
18,48,,232.89657294955975,1.1121056,283.15942,289.14194,288.85477,301.69586,286.27084,238.91905,300.47177,276.1803,283.4871,
18,49,,264.84439916252506,1.1125685,140.05615,142.63821,151.35637,150.98929,134.00818,129.08511,149.40845,140.62283,141.81235,
18,50,,216.92261758888654,1.1130297,169.38136,168.23177,164.4307,172.66035,162.34851,139.78345,178.12706,168.24954,154.15852,
18,51,,248.87050797583404,1.1130297,255.8272,254.17847,260.16696,266.09753,259.3181,216.65927,256.46808,272.6948,265.3148,
18,52,,234.89387176967728,1.1135112,101.695496,92.26919,100.89859,93.321815,102.513725,85.471886,104.390045,91.30853,90.7501,
21,53,,112.8956590430985,1.1233945,904.7185,903.0617,900.8017,898.4111,870.41486,825.30566,932.4262,894.1998,908.598,
21,54,,96.92172679518539,1.1238723,220.70845,216.82263,218.60811,224.31403,213.42314,200.425,221.90807,226.62393,217.21744,
21,55,,114.89302536011925,1.123876,430.46323,430.27106,415.53992,421.55954,423.7017,384.92505,435.3287,428.24313,412.49503,
21,56,,98.9189673530086,1.1248204,68.173935,63.06809,65.87308,70.37482,56.30139,58.236717,63.165874,67.22914,67.34074,
21,57,,164.92992458828394,1.1262444,423.99707,425.4584,441.5671,398.0009,411.08633,367.1643,425.84686,428.7042,427.7687,
21,58,,180.90389930071078,1.1267221,402.93054,394.75473,408.04648,383.94598,365.6977,342.83966,371.5151,378.9011,387.95078,
21,59,,196.8777793800701,1.1286149,157.76862,150.83226,159.5599,140.34926,144.26732,134.77794,142.31473,153.92068,150.4953,
,60,,142.94802383080085,1.1304834,213.66331,218.83827,213.29807,189.64682,191.50821,175.7404,202.32422,191.2144,205.47565,
,61,,238.86254698852457,1.130013,59.660633,54.459637,53.026016,58.975758,49.967407,41.925896,45.074287,52.424347,58.703808,
,62,,192.02425823102732,1.1625723,153.82722,153.98718,154.67186,154.2476,144.21947,125.620804,148.82483,155.93712,143.61435,
,63,,150.11242134854288,1.1658945,98.381386,107.91771,103.20572,125.860855,117.37547,88.71385,121.101776,98.934746,88.75271,
,64,,186.01626405249107,1.1668334,51.679962,53.542957,44.74225,58.268715,52.63511,60.622993,47.418865,50.321056,53.199196,
44,65,,98.98415982032365,1.1729779,2175.439,2133.7864,2166.5781,1918.24,1870.1279,2154.834,1859.2513,2186.3206,2160.973,
44,66,,170.04235006990223,1.1739353,328.7874,325.64944,334.14978,324.77835,313.096,309.93222,319.61658,324.82068,319.60587,
44,67,,216.06313874664912,1.1781945,145.69424,142.15192,152.99919,146.49443,127.64026,127.35573,140.37816,137.79721,155.25638,
,68,,247.05772998306864,1.1819556,119.48529,117.56385,112.255714,115.57392,111.027054,110.85257,101.1941,121.93994,103.94591,
55,69,,104.07060933363135,1.1880983,283.8712,292.37134,271.50348,262.65637,262.26877,285.5156,278.26517,282.8636,281.37567,
55,70,,84.04446820851285,1.1885536,120.68968,130.27141,128.39139,117.004196,111.903305,117.49049,101.637215,118.9149,124.918655,
55,71,,130.04986625022252,1.1899742,1189.1414,1206.3663,1196.4896,1207.741,1148.3347,1178.4727,1183.0775,1192.286,1231.337,
55,72,,148.0604394925969,1.1909091,3822.9795,3796.1235,3787.3174,3732.4062,3646.7717,3740.637,3678.8696,3776.2578,3818.9187,
,73,,164.0918306339327,1.1966056,0,0,0,235.99225,91.124886,0,51.110344,0,0,
55,74,,102.05494482915122,1.1951426,268.53326,257.69257,267.76028,257.48245,266.02545,259.21738,278.54532,271.22717,252.24274,
,75,,391.18227239656034,1.1975148,132.69946,138.29301,136.46146,127.0714,122.05139,136.0228,129.18092,130.444,133.775,
73,76,,176.1029750464112,1.2003334,186.74245,199.51598,189.8151,170.97057,175.3947,190.67247,175.16762,193.1853,189.84532,
73,77,,159.076382415357,1.2008,132.30104,127.77684,137.22183,127.97279,119.51494,127.48544,118.027504,126.51112,128.55371,
,78,,275.13498169113046,1.202687,97.630135,91.575714,93.85501,42.0309,80.45167,95.58078,81.89154,97.2638,107.48312,
,79,,196.09489983540203,1.2069223,101.59712,108.564766,97.551186,103.55711,93.4916,90.00235,95.84012,93.993744,101.31481,
,80,,112.99977945303255,1.2059871,65.67752,89.7319,96.84951,82.08838,88.11434,98.46412,79.553894,76.132126,96.816734,
85,81,,161.09202172978405,1.2337832,171.64975,177.53947,171.68005,183.23068,172.40959,179.1655,160.64674,157.30467,166.49773,
85,82,,427.09486654089875,1.2385241,114.02158,97.79734,64.24306,104.50049,97.75261,98.75061,104.778595,105.79658,100.59367,
,83,,214.05127693514504,1.2394519,174.84073,175.08159,173.1662,182.54744,172.292,172.71693,156.38916,157.75662,167.76645,
,84,,204.08660412768276,1.2474908,59.701378,69.80277,60.13049,68.768524,69.74783,74.992096,72.02504,68.657036,68.6019,
94,85,,116.0705652618812,1.2498462,922.041,906.4842,933.62964,920.035,882.1103,906.7884,888.5999,924.7511,927.1914,
94,86,,608.0884044450207,1.251713,173.07962,150.7823,169.7407,153.36024,133.73341,162.1212,137.68285,167.00365,169.1363,
99,87,,134.02696820255812,1.2710557,248.70393,272.58093,257.57837,264.90063,263.59674,266.43027,261.87302,248.26515,260.1127,
99,88,,403.193274560993,1.2715316,166.24353,182.87056,184.05716,168.62103,147.49675,177.51103,158.58766,179.69904,192.53221,
,89,,533.1041542650962,1.2842611,87.02981,103.73568,94.82624,98.48138,95.3235,93.181694,66.480705,81.79208,91.87379,
4,90,,324.0591145505035,1.2804925,802.41034,794.648,805.6948,770.8183,769.19147,791.1649,777.47906,804.32733,831.9424,
4,91,,112.05050036286224,1.281411,283.21927,293.05298,278.6799,257.56345,243.3164,280.86514,275.38034,278.84695,272.53485,
4,92,Kinetin: [M+NH4]+: 0.659,233.11317021518803,1.2828391,159.25992,158.07034,145.23685,148.87582,138.53094,148.95753,134.68913,148.0018,148.50436,
57,93,,241.08190179252682,1.29085,41.4741,87.95978,87.90016,71.47763,72.5422,57.924007,79.262405,91.584656,80.31306,
57,94,,277.1031120217219,1.2917889,2846.5837,2918.1538,2914.2847,2781.0198,2717.4648,2829.535,2760.6594,2859.2634,2880.5164,
57,95,,259.0925278894872,1.2917981,1670.4835,1719.4172,1699.4697,1639.2795,1623.36,1654.8077,1654.3903,1689.3723,1717.8717,
,96,,301.1142576893476,1.3219943,364.35635,394.8942,398.37762,368.11163,369.6229,378.9152,388.15762,381.5409,389.17746,
,97,,347.02499082155504,1.3470536,83.6281,90.49315,89.588264,77.34013,81.75066,80.64685,91.38044,73.69697,86.67539,
,98,,531.2517229584294,1.3390241,75.67401,78.45343,82.98737,26.53456,58.09995,67.149536,58.521294,65.17492,69.18508,
,99,,325.043144554104,1.3451685,334.5871,361.76672,358.57462,341.52808,333.75195,338.74643,340.66537,331.56796,347.7405,
,100,,231.61349067622217,1.3598186,161.33186,176.86926,159.22527,179.10194,167.27016,151.11917,186.9024,152.2834,161.64282,
,101,,242.56206615493855,1.3701851,259.97833,245.25075,245.63289,276.47403,281.0738,250.82372,274.66864,237.53276,262.46368,
,102,,191.0484340456312,1.3862388,310.97424,331.31198,332.98785,336.56332,332.2608,310.15646,351.1355,329.30673,305.9984,
19,103,,118.08623989196222,1.3947314,1225.2109,1294.9823,1316.693,1299.3171,1279.7148,1232.6215,1297.597,1264.2828,1249.8201,
,104,,484.1162701152799,1.396163,142.34383,181.80113,185.95534,174.81816,176.74464,148.8737,186.65894,164.9324,142.55487,
19,105,,162.0760462560516,1.3999408,667.86743,716.5214,714.78296,710.14325,717.01166,643.0497,724.65924,691.4733,698.0342,
,106,,130.04981677782195,1.4022982,130.19133,134.23398,137.3273,134.00662,143.61606,135.3339,148.39853,135.1095,151.42786,
,107,,308.064014277993,1.4103148,7.500822,58.588943,64.534805,57.679512,81.53549,6.598171,67.956894,64.78756,33.682045,
