"","mzmed","mzmin","mzmax","rtmed","rtmin","rtmax","npeaks","PA14_Si11_10uM","PA14_Si11_4uM","PA14_Si11_8uM","ms_level","Pool.10um.Si11.MSMS_GA2_01_50175.mzXML","Pool.10um.Si11.MSMS_GA2_01_50176.mzXML","Pool.10um.Si11.MSMS_GA2_01_50177.mzXML","Pool.4umSi11_neu.MSMS_GA3_01_50028.mzXML","Pool.8umSi11_neu.MSMS_GA4_01_50032.mzXML"
"FT0001",61.007568219684,61.007314327154,61.0076026731024,62.663,62.3455276489258,63.4260711669922,5,3,1,1,1,9821.7509375,9502.83333333334,8914.75524999999,5897.44333333334,8255.51788235293
"FT0002",68.9937068154991,68.9934664879887,68.9938313480486,1646.29809570312,1646.0703125,1659.32824707031,5,3,1,1,1,77980.5751999997,65229.0702926828,37260.0834545453,35438.9355000002,82252.0071315788
"FT0003",70.0127475642124,70.0125542015502,70.0128272155072,62.663,62.3455276489258,63.4260711669922,5,3,1,1,1,5982.595375,6604.3159375,6328.1804,5172.5128,5374.1098125
"FT0004",72.0809545913015,72.0807584826805,72.0810701103317,84.1982879638672,84.0180816650391,84.227668762207,5,3,1,1,1,14220.847,14183.2654545455,13520.437,13909.4847692308,12818.1237
"FT0005",72.0810046795289,72.080833008746,72.0811136172872,623.948120117188,623.250244140625,624.432067871094,5,3,1,1,1,23111.4722222222,22590.7839999999,23681.4174705881,14778.2737777779,24124.5222222221
"FT0006",72.9373114980496,72.937107669995,72.9374865547668,1646.72820556641,1646.09985351562,1647.58264160156,4,3,0,1,1,69323.2878653844,65689.7577142856,40832.9278518518,58023.302927983,102679.740625
"FT0007",73.5320158330115,73.531795745027,73.5321070048633,62.663,62.6166763305664,62.7350311279297,3,2,1,0,1,4555.16111111112,4366.1739079895,3902.62211111111,3411.1025,2013.12898483276
"FT0008",77.0012266534149,77.0011170125742,77.0013362942556,1647.66073828125,1647.383,1647.9384765625,2,1,0,1,1,8703.96019604483,10059.0160892658,6468.74799999996,9899.01193920887,16107.4551428572
"FT0009",77.0387197040312,77.0386393721977,77.038905812615,623.772,623.250244140625,624.432067871094,5,3,1,1,1,7351.34399999997,6734.66485714288,7075.36821428574,4006.10880000003,8685.57746666665
"FT0010",77.0389130285656,77.0385755293549,77.0390349539825,507.495,507.043090820312,507.681671142578,5,3,1,1,1,42612.0422000001,42673.2674499998,42766.0750000001,26230.8302222224,48035.2790000003
"FT0011",77.9989934588434,77.9987848336399,77.9990113309837,1650.03237353516,1647.32141113281,1651.2041015625,4,3,0,1,1,256317.096393442,260005.192984127,258157.149666667,57453.0399698988,310442.313125
"FT0012",78.5000237639765,78.499861398418,78.5000420697923,1646.93505859375,1646.0703125,1648.017,3,2,0,1,1,9444.90482312499,9877.80383999992,10024.9452857143,11805.1668498884,12140.8026666667
"FT0013",78.9990418842018,78.998924100843,78.9992978486924,1644.19616699219,1643.99426269531,1644.37097167969,5,3,1,1,1,14223.6801000001,13938.1120000001,17205.3475862069,16567.2315,14854.7252941176
"FT0014",79.0214359169874,79.021159358111,79.0215158152778,86.705,85.8856201171875,87.3609848022461,5,3,1,1,1,527470.852173913,468011.240952381,502018.588869565,241956.305722222,476059.900375
"FT0015",79.0214828320973,79.0210532311029,79.0217083594969,507.561983642578,507.403869628906,507.659881591797,4,3,0,1,1,12532.6479166667,11607.0341428572,13612.2991153846,2065.30590794372,11133.3096666667
"FT0016",79.9969326045884,79.9967120120123,79.9971531971646,1644.51519775391,1644.19616699219,1644.83422851562,2,1,0,1,1,5936.96114999995,5330.48603258635,5186.41884251645,4288.7620980399,5962.22700000004
"FT0017",80.0243549489729,80.0239191630428,80.0243755901645,86.705,85.254264831543,87.3609848022461,5,3,1,1,1,13695.4636666667,12767.7052941177,15093.0433333333,6165.00166666667,13701.5522222222
"FT0018",80.9479528388652,80.9477161537358,80.9480786982603,67.7034683227539,67.6823120117188,68.2795028686523,5,3,1,1,1,4583.47999999999,4101.17666666667,4314.55050000001,4320.98624999999,4074.90742857143
"FT0019",81.0172284426322,81.0169970084863,81.0172924630211,86.705,85.8856201171875,87.3609848022461,5,3,1,1,1,26257.79,24646.7361111111,26200.335,12850.1709411765,25262.0377777778
"FT0020",81.9988530931717,81.9988530931717,81.9988530931717,1646.0703125,1646.0703125,1646.0703125,1,0,0,1,1,5267.33773643092,6784.00334472656,6921.98529052734,6987.22387695312,9531.36571428578
"FT0021",82.5372987374398,82.5370650883184,82.5374180385796,62.7350311279297,62.6166763305664,63.4260711669922,5,3,1,1,1,5626.26680000001,5198.68933333334,5046.853,5901.06933333333,5470.33821428571
"FT0022",82.9967636197949,82.9964551996621,82.9968272628347,1649.28820800781,1646.0703125,1658.76953125,5,3,1,1,1,226914.174999999,231829.461875,214921.826399999,102847.68175,239736.275350001
"FT0023",83.4974161329032,83.4973988266524,83.4977846978404,1647.9384765625,1645.495,1648.83215332031,3,2,0,1,1,15839.2774657068,17848.5175,9749.03130434774,16414.0957540792,19703.878775
"FT0024",83.9969077035038,83.9967539206328,83.9971666149006,1644.18798828125,1643.72216796875,1644.254,5,3,1,1,1,11085.7416521738,9564.61289473695,9909.85166666665,11410.3856086955,11826.9720000001
"FT0025",84.0445867486238,84.0443315077153,84.0446876601973,72.163,71.4267807006836,72.5416793823242,5,3,1,1,1,6327.14861538462,6400.77333333333,6191.4375,7052.87064705883,7219.848
"FT0026",84.9598707489432,84.9596553900509,84.959964833899,62.663,62.3455276489258,63.4260711669922,5,3,1,1,1,14622.52325,14110.62325,13957.2435882353,9407.13475000001,10923.358875
"FT0027",85.99760554757,85.99760554757,85.99760554757,1590.97778320312,1590.97778320312,1590.97778320312,1,0,0,1,1,6773.271484375,9125.4180733817,9644.08560616629,7459.23123372396,7534.33312500004
"FT0028",85.9975602423632,85.9975602423632,85.9975602423632,1604.26000976562,1604.26000976562,1604.26000976562,1,0,0,1,1,NA,1742.03198242188,797.381713867188,1453.30810546875,2134.23100000005
"FT0029",85.997626388815,85.997626388815,85.997626388815,1631.59289550781,1631.59289550781,1631.59289550781,1,0,0,1,1,8151.61037868924,19667.0766673369,15244.2143205915,15271.6061662946,19101.9652777777
"FT0030",86.0967128137336,86.0964093578176,86.0967781739304,124.802,124.125350952148,125.424812316895,5,3,1,1,1,42302.5444137931,42611.61,44593.0928888889,43101.9788965517,42363.3135357143
"FT0031",87.0043005460212,87.0040739702721,87.0043297506579,1651.94214892578,1650.43054199219,1652.4638671875,4,3,0,1,1,149356.853969231,150493.432640624,150009.131478261,84166.9867425029,224446.939810811
"FT0032",88.0043874571653,88.0043077065142,88.0046979077002,1644.83422851562,1644.19616699219,1645.01599121094,3,2,0,1,1,8978.17857142857,7620.05494736831,7157.24081420898,9004.90090110085,8871.44333333326
"FT0033",88.5091199391472,88.5089728613249,88.5092450117771,1646.0703125,1645.65637207031,1646.757,3,2,0,1,1,6797.83436015619,7791.09284210515,8839.82261904754,10727.0257238991,13225.5842727273
"FT0034",89.0387331922908,89.0386180799633,89.0388492095422,516.907,516.25146484375,516.925109863281,5,3,1,1,1,10018.7530625,11238.39255,9875.78099999994,3606.00133333332,11163.9930555556
"FT0035",89.5067222393437,89.5066735331537,89.5069617762444,17.5076942443848,17.456,19.0585021972656,5,3,1,1,1,4193.2878,7211.32133333333,5455.957375,10813.95,13889.0206956522
"FT0036",89.5068731280475,89.5067501427591,89.5069558103882,1647.66937255859,1646.135,1655.88879394531,6,3,0,1,1,290043.888327586,154387.228875,142786.134666667,256662.07993335,386297.637846154
"FT0037",90.0079257445728,90.0078789235892,90.0080924929483,1646.11742675781,1645.45227050781,1646.29809570312,4,3,0,1,1,13720.3195909091,14894.7954545453,13514.9178181817,15466.072719574,19752.1320000001
"FT0038",90.5071030859253,90.506882900731,90.5071869118215,1644.18798828125,1643.55615234375,1644.37097167969,5,3,1,1,1,36727.7947000002,38527.643809524,36997.3960000001,39918.6480869564,40753.5893999997
"FT0039",90.5070165771562,90.5070165771562,90.5070165771562,20.1236724853516,20.1236724853516,20.1236724853516,1,0,0,1,1,NA,704.028732061386,603.306480407715,482.4104347229,2553.444
"FT0040",90.9767474624638,90.9765120128592,90.9768944339787,1639.20812988281,1639.16711425781,1639.816,5,3,1,1,1,70823.9434782614,69158.6419130438,68743.9792173916,61226.6251428578,67410.8984347825
