row ID,row m/z,row retention time,row ion mobility,row ion mobility unit,row CCS,correlation group ID,annotation network number,best ion,auto MS2 verify,identified by n=,partners,neutral M mass,p_HM-188_Novo_B_1ul.mzXML Peak area,p_HM-188_Lome_B_1ul.mzXML Peak area,p_HM-188_Novo_A_1ul.mzXML Peak area,p_HM-188_Cipro_A_1ul.mzXML Peak area,p_HM-188_Lome_A_1ul.mzXML Peak area,p_HM-188_GT3-043_C_1ul.mzXML Peak area,p_HM-188_Levo_A_1ul.mzXML Peak area,p_HM-188_Levo_B_1ul.mzXML Peak area,p_HM-188_Novo_C_1ul.mzXML Peak area,p_HM-188_Lome_C_1ul.mzXML Peak area,p_HM-188_PA14wt_C_1ul.mzXML Peak area,p_HM-188_AR351_C_1ul.mzXML Peak area,p_HM-188_Coumermycin_B_1ul.mzXML Peak area,p_HM-188_Levo_C_1ul.mzXML Peak area,p_HM-188_Coumermycin_C_1ul.mzXML Peak area,p_HM-188_AR351_B_1ul.mzXML Peak area,p_HM-188_PA14wt_A_1ul.mzXML Peak area,p_HM-188_GT3-043_B_1ul.mzXML Peak area,p_HM-188_Coumermycin_A_1ul.mzXML Peak area,p_HM-188_Cipro_C_1ul.mzXML Peak area,p_HM-188_GT3-043_A_1ul.mzXML Peak area,p_HM-188_AR351_A_1ul.mzXML Peak area,p_HM-188_Cipro_B_1ul.mzXML Peak area,p_HM-188_PA14wt_B_1ul.mzXML Peak area
148,428.6991937,1.1657771,,,,1,10,[2M+H]+,,2,157;148,213.84609,9.508548,9.265894,9.320694,28.243776,20.220943,14.051781,16.581266,21.145386,2.4757526,24.008673,21.218985,38.023693,19.64312,24.125143,13.638412,36.39739,8.26634,15.558172,13.17807,16.26408,20.074099,34.78652,29.57483,12.750541
264,157.0348332,1.4334936,,,,18,14,[2M+H]+,,2,264;265,78.01374,2.2438304,66.3543,69.614685,67.01063,32.375862,186.26266,57.923717,112.740204,42.782837,59.202995,194.80458,90.388916,0,61.063988,55.11404,133.66034,102.49408,211.80289,36.98897,96.772064,220.87152,73.33516,104.50808,150.56255
364,891.3633519,12.294568,,,,15,25,[2M+H]+,,2,364;367,445.17806,25.292822,43.654568,37.34319,47.434563,39.007523,32.464058,41.41566,17.715452,33.93476,31.443676,25.853539,30.785412,38.853523,23.065699,28.61346,44.367165,30.57843,37.382217,41.55388,31.872845,42.22718,43.729576,44.342304,42.88114
533,1225.470147,15.250905,,,,13,39,[2M+H]+,,2,533;530,612.23162,743.9995,0,614.87573,0,0,0,0,0,852.5502,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
565,627.4145555,15.632844,,,,67,46,[2M+H]+,,2,565;566,313.20364,0,11.039352,0,94.72992,4.899699,38.669216,0,0,0,0,2.293408,5.427732,0,0,0,2.3860931,2.3752213,49.51472,0,44.94436,54.60365,2.8026834,116.55905,0
938,565.5184009,19.867243,,,,6,76,[2M+H]+,,3,938;942;935,282.25563,11.711138,41.160244,9.264563,38.616497,47.75631,108.71528,39.070755,40.070076,2.561205,29.03532,71.86969,82.35143,57.184307,48.76166,45.763058,66.53111,49.865414,75.789604,52.88226,44.391834,54.661255,74.53953,49.142956,74.839584
260,179.0165762,1.4325548,,,,18,14,[2M+Na]+,,2,263;260,78.01374,16.758194,67.12245,55.849632,60.162838,36.561546,114.1386,34.3477,84.45081,53.17626,54.957973,118.434326,74.27096,10.164157,26.506487,53.771126,93.09769,65.03558,124.201256,52.886707,82.797455,156.18896,68.48257,80.638145,76.59736
369,913.3445556,12.29565,,,,15,25,[2M+Na]+,,2,368;369,445.17806,120.16147,119.43192,107.92031,130.8246,114.24428,111.131775,120.041306,111.93597,118.21396,90.06705,68.40564,100.90719,128.22147,104.152214,104.84148,131.74896,114.542274,122.07303,133.5966,108.61816,121.177605,136.60532,122.38386,114.458984
450,651.4790598,13.885875,,,,33,33,[2M+Na]+,,2,449;450,314.24529,94.5044,119.43122,84.43402,314.0918,122.33609,213.42351,144.49483,245.56952,44.279507,150.24353,94.71569,320.7304,109.96699,145.67188,108.08083,412.40042,108.33101,231.00613,113.25459,251.14867,224.89241,359.65662,383.5313,162.05127
469,559.3962504,14.415615,,,,63,35,[2M+Na]+,,2,472;469,268.20353,17.810934,0,2.5195894,0,0,0,0,0,0,0,0,9.8675,35.754913,0,37.851135,31.40707,0,0,70.08511,4.4076095,0,49.411102,7.044911,2.2528434
