row ID,row m/z,row retention time,row ion mobility,row ion mobility unit,row CCS,correlation group ID,annotation network number,best ion,auto MS2 verify,identified by n=,partners,neutral M mass,Si11_35840.mzXML Peak area,Si11_35844.mzXML Peak area,Si11_35845.mzXML Peak area,Si11_35843.mzXML Peak area,Si11_35842.mzXML Peak area,Si11_35839.mzXML Peak area,Si11_35841.mzXML Peak area
4,128.019384588775,1.0352095,,,,0,,,,,,,117.09346,134.99232,132.74516,141.41896,147.28804,133.50662,122.8378
7,125.986378547062,1.0336548,,,,0,,,,,,,157.5278,169.02231,166.04854,201.38834,173.37073,134.8563,130.8493
8,151.949833355087,1.0366952,,,,0,,,,,,,124.540474,180.7441,177.41968,313.3064,168.20766,118.5837,131.89983
14,110.008798910594,1.0366952,,,,0,,,,,,,266.54068,351.86343,357.2572,380.54117,299.19006,265.56912,239.54962
15,149.952955436702,1.0382024,,,,0,,,,,,,232.31865,349.92484,296.98395,562.2013,312.85022,221.14134,220.82051
16,105.963055119061,1.0382023,,,,0,,,,,,,49.535973,86.11514,71.26489,142.68994,78.82357,47.23188,52.905582
22,141.95872750246,1.0575548,,,,,,,,,,,207.11124,134.72386,263.44693,145.90437,27.8648,49.41255,169.45982
26,107.049205651981,1.4259523,,,,13,3,[M+H]+,,2,32;26,106.04195,331.69217,395.171,377.02448,373.84436,340.45682,287.3766,387.30957
27,135.044149996334,1.4259523,,,,13,2,[M+H]+,,2,28;27,134.03689,2303.7354,2557.2263,2642.1504,2486.2964,2389.675,2070.3335,2406.7761
28,152.0707339747,1.4259523,,,,13,2,[M+NH4]+,,2,28;27,134.03689,1333.4598,1484.2509,1507.2046,1479.2633,1352.6516,1266.3595,1418.6542
29,202.180267472677,1.4259644,,,,13,,,,,,,65.80934,69.991684,74.81774,66.85794,79.41413,76.40607,80.856125
31,85.0588965225131,1.4274595,,,,13,,,,,,,61.017418,73.88307,54.405342,71.85272,64.71845,63.87419,55.666306
32,106.065222427395,1.4304739,,,,13,3,[M-H2O+NH4]+,,2,32;26,106.04195,225.84772,267.80695,262.83743,254.27908,221.21495,202.00896,231.85541
33,152.0706888838,1.6199762,,,,34,4,[M+NH4]+,,2,33;34,134.03687,364.844,424.68124,391.695,378.25833,361.37393,317.4977,385.38583
34,135.044152826749,1.6269548,,,,34,4,[M+H]+,,2,33;34,134.03687,667.75726,727.8448,715.85925,730.1654,655.6814,583.7423,641.795
35,107.049202940702,1.6224525,,,,34,,,,,,,60.452023,84.8371,94.404396,97.21919,24.134426,59.50424,70.607254
36,217.104705482551,5.7096095,,,,38,5,[M+Na]+,,2,36;37,194.11549,383.97946,480.81918,474.12714,471.691,394.71744,403.57437,442.47348
37,195.122776142825,5.7096305,,,,38,5,[M+H]+,,2,36;37,194.11549,319.47162,263.3211,235.73978,284.7216,295.79715,318.42123,304.96088
38,256.175563363962,6.385929,,,,39,6,[M+NH4]+,,3,40;39;38,238.14166,48.57967,34.23257,46.09854,42.037533,43.249977,69.61652,59.29829
39,239.14892106315,6.3852315,,,,39,6,[M+H]+,,3,40;38;39,238.14166,559.98145,525.7143,506.0775,543.2574,510.7639,601.8358,550.8795
40,261.130805850698,6.3854556,,,,39,6,[M+Na]+,,3,40;38;39,238.14166,380.73904,480.14032,453.20636,459.63995,412.9863,366.79288,397.5555
41,300.201549043007,6.862,,,,45,7,[M+NH4]+,,3,42;41;43,282.16779,85.46335,79.47057,68.00353,72.06205,82.55327,100.688545,94.28884
42,283.175103258758,6.8621573,,,,45,7,[M+H]+,,3,42;41;43,282.16779,155.09868,153.23651,152.94151,148.10934,139.368,147.46939,152.19139
43,305.157026353489,6.863772,,,,45,7,[M+Na]+,,3,42;41;43,282.16779,116.07401,131.20149,147.23973,129.53769,107.25881,103.64497,124.27268
45,188.093146611991,7.0220337,,,,1,,,,,,,61.45415,70.01944,63.866615,20.886065,56.325813,61.47583,67.54155
46,453.15025637251,7.020636,,,,1,8,[2M+Na]+,,2,48;46,215.08065,72.6199,94.20912,80.207016,69.39833,78.85452,63.26765,86.955925
47,148.061846998775,7.022171,,,,1,,,,,,,516.32465,522.77124,520.8848,527.40375,486.74722,526.98505,512.6618
48,216.087972017302,7.022171,,,,1,8,[M+H]+,,3,46;48;49,215.08065,22854.475,23621.426,23449.459,23530.62,22462.441,22919.873,23379.129
49,238.06996393035,7.0235815,,,,1,8,[M+Na]+,,2,48;49,215.08065,309.39685,327.2593,301.41122,319.036,285.13684,311.7279,336.34164
51,344.227680821481,7.246959,,,,,,,,,,,67.099815,55.009598,45.407856,73.25214,59.995937,67.5303,59.512047
52,166.058034894928,8.241506,,,,17,,,,,,,78.38695,79.3363,82.837944,84.94894,46.19175,82.06678,85.35441
53,119.049165007031,8.235369,,,,17,,,,,,,146.129,162.89296,149.4121,145.96638,131.39333,137.14333,148.55484
54,147.044023953783,8.235436,,,,17,9,[M-H2O+H]+,,2,56;54,164.04733,1191.9857,1366.748,1305.4498,1314.1415,1208.2004,1203.7617,1305.287
55,165.054598966462,8.235436,,,,17,9,[M+H]+,,2,56;55,164.04733,815.12744,906.9955,840.91956,864.4194,808.8299,822.7444,910.13544
56,187.036563515504,8.241527,,,,17,9,[M+Na]+,,3,56;54;55,164.04733,50.269207,59.25903,48.276897,51.932606,50.14175,37.22571,63.508957
57,148.047456910031,8.23995,,,,17,,,,,,,115.34569,123.007286,101.578186,119.17151,60.64787,113.68278,116.2311
59,334.062845058045,8.522458,,,,3,,,,,,,325.29034,358.31116,368.067,341.7391,345.67447,325.46094,334.93723
61,633.141951333268,8.52845,,,,3,10,[M+Na]+,,3,65;61;63,610.1525,1492.76,1603.2638,1583.0509,1628.4307,1528.6696,1423.1592,1503.5773
62,465.102551704619,8.529936,,,,3,,,,,,,273.7079,297.43686,300.23926,299.87988,295.5858,270.86575,290.3872
63,611.160085822565,8.529936,,,,3,10,[M+H]+,,3,61;63;69,610.1525,5102.691,5311.6743,5264.9077,5417.285,5248.042,5011.505,5156.1533
