feature_name,mz,rt,metabolite_annotation,adducts_anno,neutral_loss_annotation,ISF_anno,iso_anno,group,cor_group,check_group,user_anno
FT0001,219.0225,61.8,NA,NA,NA,,,NA,NA,,
FT0002,84.9597,62.1,NA,NA,FT0006-HCOOH(H2+CO2 or H2O+CO),,,group1,corgroup214,+,
FT0003,164.9698,62.1,NA,NA,NA,,,NA,NA,,
FT0005,81.5207,62.3,NA,NA,NA,,,NA,NA,,
FT0007,110.0087,62.3,NA,NA,FT0010-H2O,,,group2,corgroup214,+,
FT0008,114.9876,62.3,NA,NA,NA,,,NA,NA,,
FT0004,125.9862,62.3,NA,NA,NA,,,NA,corgroup214,,
FT0006,130.9653,62.3,NA,NA,NA,,,group1,NA,,
FT0011,73.5319,62.5,NA,NA,NA,,,NA,NA,,
FT0012,111.0099,62.5,NA,NA,NA,,,NA,corgroup214,,
FT0009,112.0063,62.5,NA,NA,NA,,,NA,corgroup214,,
FT0010,128.0192,62.5,NA,NA,NA,,,group2,NA,,
FT0014,149.9527,62.5,NA,NA,NA,,,NA,corgroup275,,
FT0013,151.0351,62.5,NA,NA,NA,,,NA,corgroup214,,
FT0015,153.9483,62.5,NA,NA,NA,,,NA,corgroup275,,
FT0016,151.9497,62.8,NA,NA,NA,,,NA,corgroup275,,
FT0017,362.9261,65.6,NA,NA,NA,,,NA,corgroup319,,
FT0018,430.9136,65.6,NA,NA,NA,Precursor,,group3,corgroup305,,
FT0019,378.9,65.7,NA,NA,NA,,,NA,corgroup305,,
FT0021,90.9767,65.8,NA,NA,NA,FT0020_MS2 match,,group3,corgroup319,+,
FT0020,226.9515,65.8,NA,NA,NA,Precursor; FT0018_MS2 match,,group3,corgroup319,+,
FT0022,242.9255,65.8,NA,NA,NA,,,NA,corgroup319,,
FT0024,106.9505,66.1,NA,NA,NA,,,NA,corgroup319,,
FT0023,174.938,66.1,NA,NA,NA,,,NA,corgroup319,,
FT0025,659.9853,66.1,NA,NA,NA,,,NA,NA,,
FT0026,122.9244,66.3,NA,NA,NA,,,NA,corgroup319,,
FT0027,158.9429,67.2,NA,NA,NA,,,NA,NA,,
FT0028,80.9479,67.6,NA,NA,FT0039-C6H13NO5,,,group4,NA,,
FT0029,96.9218,67.6,NA,NA,NA,,,NA,corgroup319,,
FT0030,112.8957,67.6,NA,NA,NA,,,NA,corgroup319,,
FT0031,114.893,67.6,NA,NA,NA,,,NA,corgroup319,,
FT0034,156.0767,67.9,NA,NA,NA,,,group6,corgroup181,+,
FT0032,180.9039,67.9,NA,NA,FT0041-H3PO4,,,group5,corgroup319,+,
FT0033,196.8778,67.9,NA,NA,NA,,,NA,corgroup319,,
FT0036,222.8884,68.1,NA,NA,NA,,,NA,corgroup117,,
FT0035,238.8626,68.1,NA,NA,NA,,,NA,corgroup181,,
FT0037,142.9481,68.6,NA,NA,NA,,,NA,corgroup181,,
FT0038,174.8958,68.6,NA,NA,FT0041-NO+NO2+CO,,,group5,NA,,
FT0039,260.0271,68.9,NA,NA,NA,,,group4,corgroup181,+,
FT0040,262.9068,69.4,NA,NA,NA,,,NA,corgroup181,,
FT0041,278.8806,69.4,NA,NA,NA,,,group5,corgroup117,+,
FT0042,207.9982,69.6,NA,NA,NA,,,NA,corgroup181,,
FT0043,238.045,69.6,NA,NA,NA,,,NA,corgroup181,,
FT0044,120.9661,69.7,NA,NA,NA,,,NA,corgroup142,,
FT0045,106.0863,69.9,NA,NA,FT0034-CH3Cl,,,group6,corgroup174,+,
FT0047,192.0243,69.9,NA,NA,NA,,,NA,corgroup181,,
FT0046,195.0028,69.9,NA,NA,NA,,,NA,NA,,
FT0048,186.0162,70.1,NA,NA,NA,,,NA,corgroup51,,
FT0050,134.0448,70.4,NA,NA,FT0067-Anhydro-aminodeoxyhexose,,,group7,NA,,
FT0049,150.1124,70.4,NA,NA,NA,,,NA,corgroup174,,
FT0051,170.0424,70.7,NA,NA,NA,,,NA,NA,,
FT0052,269.0397,70.7,NA,NA,NA,,,NA,NA,,
FT0053,173.0211,70.9,NA,NA,FT0075-NO+NO2+CO,,,group8,NA,,
FT0055,203.0529,70.9,NA,NA,FT0069-C2H2O2; FT0079-Anhydrohexose,,,group10,NA,,
FT0054,216.0631,70.9,NA,NA,FT0072-trimethylamine,,,group9,NA,,
FT0056,98.9841,71.1,NA,NA,NA,,,NA,corgroup142,,
FT0059,87.0441,71.4,NA,NA,FT0063-HNCO; FT0065-NH3; FT0066-CO2+NH3,,,group12,corgroup28,,
FT0058,247.0578,71.4,NA,NA,NA,,,group11,NA,,
FT0057,399.1443,71.4,NA,NA,NA,,,NA,NA,,
FT0060,131.0532,71.6,NA,NA,NA,,[15][M+1]+,group12,NA,,
FT0061,84.0444,71.7,NA,NA,FT0062-H2O; FT0063-HCOOH(H2+CO2 or H2O+CO),,,group12,NA,,
FT0062,102.055,71.7,NA,NA,FT0063-CO; FT0066-HCOOH(H2+CO2 or H2O+CO); FT0070-Methyl isocyanate,,,group12,corgroup51,,
FT0065,104.0706,71.7,NA,NA,FT0066-CO2; FT0070-HCN+CO; FT0073-CH3COOH,,,group12,NA,,
FT0063,130.0499,71.7,NA,NA,FT0066-H2O,,[15][M]+,group12,NA,,
FT0066,148.0604,71.7,NA,NA,NA,,[23][M]+,group12,corgroup142,+,
FT0064,149.0637,71.7,NA,NA,NA,,[23][M+1]+,group12,corgroup92,,
FT0067,295.1135,71.9,NA,NA,NA,,,group7,corgroup27,+,
FT0068,391.1823,72.1,NA,NA,NA,,,group12,corgroup107,,
FT0069,261.0581,72.2,NA,NA,NA,,,group10,NA,,
FT0070,159.0764,72.4,NA,NA,FT0071-NH3; FT0078-Anhydro-aminodeoxyhexose,,,group12,corgroup79,,
FT0071,176.103,72.4,NA,NA,NA,,,group12,corgroup142,+,
FT0072,275.135,72.4,NA,NA,NA,,,group9,corgroup107,+,
FT0073,164.0917,72.5,NA,NA,NA,,,group12,NA,,
FT0074,112.9998,72.7,NA,NA,FT0053-CH3COOH,,,group8,NA,,
FT0077,196.0949,72.7,NA,NA,NA,,,NA,NA,,
FT0076,209.0186,72.7,NA,NA,NA,,,NA,corgroup28,,
FT0075,277.0084,72.7,NA,NA,NA,,,group8,NA,,
FT0078,320.1451,72.7,NA,NA,FT0068-dehydroalanine,,,group12,NA,,
FT0079,365.1053,72.7,NA,NA,NA,,,group10,corgroup92,+,
FT0080,187.0366,72.9,p-Coumaric Acid [M+Na]+,[M+Na]+ 164.0473,FT0058-CH3COOH,,,group11,corgroup92,+,
FT0081,115.0367,73.7,NA,NA,FT0083-Pyroglutamic acid,,,group13,NA,,
FT0082,161.0921,74.5,NA,NA,FT0087-CO2,,,group14,corgroup27,,
FT0083,244.0791,74.5,NA,NA,NA,,,group13,corgroup27,+,
FT0084,222.0971,74.6,NA,NA,NA,,,group15,corgroup247,+,
FT0085,427.0949,74.6,NA,NA,NA,,,NA,NA,,
FT0086,214.0513,74.9,NA,NA,NA,,,NA,NA,,
FT0087,205.082,75,NA,NA,NA,,,group14,corgroup112,+,
FT0090,116.0706,75.2,NA,NA,FT0082-NH3+CO or HCN+H2O,,[6][M]+,group14,corgroup112,+,
FT0089,117.0739,75.2,NA,NA,NA,,[6][M+1]+,group14,corgroup112,+,
FT0088,204.0866,75.2,NA,NA,FT0084-H2O,,,group15,NA,,
FT0091,405.0093,75.3,NA,NA,FT0092-Anhydro-N-acetylglucosamine,,,group16,corgroup79,+,
FT0092,608.0885,76,NA,NA,NA,,,group16,NA,,
FT0093,88.0216,76.4,NA,NA,FT0094-HCOOH(H2+CO2 or H2O+CO),,,group17,NA,,
FT0094,134.027,76.5,NA,NA,NA,,,group17,NA,,
FT0095,403.1933,76.5,NA,NA,NA,,,NA,corgroup433,,
FT0096,346.0409,76.9,NA,NA,NA,,,NA,corgroup10,,
FT0097,620.0997,77,NA,NA,NA,,,NA,corgroup247,,
FT0098,324.0591,77.2,NA,NA,NA,,,NA,NA,,
FT0099,233.1131,77.3,NA,NA,FT0105-CO2,,,group18,NA,,
FT0100,533.1042,77.4,NA,NA,NA,,,NA,corgroup14,,
FT0101,241.0818,77.8,NA,NA,FT0103-H2O,,,group18,NA,,
FT0103,259.0925,77.8,NA,NA,FT0105-H2O,,[103][M]+,group18,corgroup433,+,
FT0104,260.0957,77.8,NA,NA,NA,,[103][M+1]+,group18,corgroup14,,
FT0105,277.1031,77.8,NA,NA,NA,,[125][M]+,group18,corgroup433,+,
FT0106,278.1063,77.8,NA,NA,NA,,[125][M+1]+,group18,corgroup213,,
FT0102,279.1078,77.8,NA,NA,NA,,[125][M+2]+,group18,NA,,
FT0107,325.0526,78.9,NA,NA,NA,,,NA,NA,,
FT0108,220.0482,79.3,NA,NA,NA,,,NA,NA,,
FT0109,302.1172,79.5,NA,NA,NA,,[168][M+1]+,group19,corgroup10,+,
FT0110,301.1142,79.6,NA,NA,NA,,[168][M]+,group19,NA,,
FT0111,531.2518,80.4,NA,NA,NA,,,NA,corgroup213,,
FT0112,219.0975,80.6,NA,NA,NA,,,NA,NA,,
FT0113,306.1025,80.7,NA,NA,NA,,,NA,NA,,
FT0114,577.9665,80.8,NA,NA,NA,,,NA,NA,,
FT0116,213.0159,80.9,NA,NA,NA,,,NA,NA,,
FT0115,347.0249,80.9,NA,NA,NA,,,NA,corgroup60,,
FT0117,97.0284,81.1,NA,NA,NA,,,NA,NA,,
FT0118,560.0785,81.1,NA,NA,NA,,,NA,corgroup60,,
FT0119,299.1099,81.5,NA,NA,NA,,,NA,NA,,
FT0121,231.6135,81.6,NA,NA,NA,,[73][M]2+,group20,NA,,
FT0120,232.1152,81.6,NA,NA,NA,,[73][M+1]2+,group20,NA,,
FT0122,243.0635,82.2,NA,NA,NA,,[82][M+1]2+,group21,corgroup12,+,
FT0123,242.5621,82.4,NA,NA,NA,,[82][M]2+,group21,corgroup12,+,
FT0124,462.2189,82.9,NA,NA,NA,,,NA,corgroup383,,
FT0125,484.1161,83.6,NA,NA,NA,,,NA,corgroup235,,
FT0126,803.2212,83.7,NA,NA,NA,,,NA,NA,,
FT0127,191.0484,83.8,NA,NA,FT0192-Pyroglutamic acid,,,group22,corgroup218,+,
FT0128,119.0895,83.9,NA,NA,NA,,[10][M+1]+,group23,corgroup145,,
FT0129,118.0862,84,NA,NA,FT0131-CO2,FT0196_MS2 match,[10][M]+,group23,corgroup218,,
FT0130,163.0794,84.1,NA,NA,NA,,[32][M+1]+,group23,corgroup49,,
FT0131,162.076,84.2,NA,NA,NA,,[32][M]+,group23,corgroup218,,
