feature_name,mz,rt,metabolite_annotation,adducts_anno,neutral_loss_annotation,ISF_anno,iso_anno,group,cor_group,check_group,user_anno
FT0001,151.0352,62.2,NA,NA,NA,,,NA,corgroup64,,
FT0002,84.9597,62.3,NA,NA,NA,,,NA,corgroup185,,
FT0003,125.9862,62.3,NA,NA,NA,,,NA,corgroup185,,
FT0004,128.0192,62.3,NA,NA,NA,,,group1,NA,,
FT0005,111.0099,62.4,NA,NA,NA,,,NA,NA,,
FT0006,110.0087,62.4,NA,NA,FT0004-H2O,,,group1,corgroup185,+,
FT0007,112.0063,62.4,NA,NA,NA,,,NA,corgroup185,,
FT0008,164.97,62.2,NA,NA,NA,,,NA,NA,,
FT0009,151.9496,62.5,NA,NA,NA,,,NA,corgroup64,,
FT0010,149.9527,62.6,NA,NA,NA,,,NA,corgroup64,,
FT0011,288.9211,64.7,NA,NA,NA,,,NA,corgroup131,,
FT0012,786.8246,65.3,NA,NA,NA,,,NA,corgroup105,,
FT0013,802.799,65.5,NA,NA,NA,,,NA,corgroup109,,
FT0014,718.8372,65.4,NA,NA,NA,,,NA,corgroup82,,
FT0015,854.8121,65.2,NA,NA,NA,,,NA,corgroup116,,
FT0016,650.8497,65.5,NA,NA,NA,,,NA,corgroup95,,
FT0017,446.8876,65.5,NA,NA,NA,,,group2,corgroup109,+,
FT0018,582.8624,65.5,NA,NA,NA,,,NA,corgroup95,,
FT0019,734.8117,65.6,NA,NA,NA,,,NA,corgroup109,,
FT0020,310.913,65.7,NA,NA,NA,,,NA,corgroup109,,
FT0021,514.875,65.6,NA,NA,NA,,,NA,corgroup105,,
FT0022,378.9002,65.6,NA,NA,NA,,,NA,corgroup109,,
FT0023,666.8241,65.6,NA,NA,NA,,,NA,corgroup82,,
FT0024,598.8365,65.7,NA,NA,NA,,,NA,corgroup105,,
FT0025,462.8616,65.7,NA,NA,NA,,,NA,corgroup109,,
FT0026,244.9242,65.7,NA,NA,NA,,,NA,NA,,
FT0027,530.849,65.7,NA,NA,NA,,,NA,corgroup82,,
FT0028,174.938,65.8,NA,NA,NA,,,NA,corgroup109,,
FT0029,242.9255,65.8,NA,NA,NA,,,NA,corgroup109,,
FT0030,692.8336,65.8,NA,NA,NA,,,NA,corgroup109,,
FT0031,394.8742,65.8,NA,NA,NA,,,NA,corgroup109,,
FT0032,106.9506,65.9,NA,NA,NA,,,NA,corgroup109,,
FT0033,258.8994,66,NA,NA,NA,,,NA,corgroup109,,
FT0034,260.8978,65.9,NA,NA,NA,,,NA,NA,,
FT0035,708.8083,66,NA,NA,NA,,,NA,corgroup82,,
FT0036,640.8211,66,NA,NA,NA,,,NA,NA,,
FT0037,274.8733,66.1,NA,NA,FT0017-C3H9O6P,,,group2,NA,,
FT0038,504.8464,66.2,NA,NA,NA,,,NA,corgroup194,,
FT0039,190.9119,66.2,NA,NA,NA,,,NA,corgroup254,,
FT0040,122.9245,66.3,NA,NA,NA,,,NA,corgroup82,,
