"feature_name","mz","rt","metabolite_annotation","adducts_anno","neutral_loss_annotation","ISF_anno","iso_anno","group","cor_group","check_group","user_anno"
"FT0421",77.0387,507.4,NA,NA,"FT0455-NO2+NO2+CO; FT0467-CO","FT0425_MS2 match; FT0433_MS2 match; FT0435_MS2 match; FT0447_MS2 match; FT0458_MS2 match; FT0460_MS2 match; FT0462_MS2 match","","group38","corgroup119","+",""
"FT0291",79.0213,85.7,NA,NA,"FT0278-dehydroalanine; FT0295-CH3Cl; FT0297-NO2+CO","Precursor; FT0269_MS2 match; FT0290_MS2 match; FT0291_MS2 match","","group13","corgroup72","+",""
"FT0292",81.0171,85.7,NA,NA,NA,"FT0290_MS2 match","","group13","corgroup72","+",""
"FT0222",84.0444,71.6,NA,NA,"FT0221-HCOOH(H2+CO2 or H2O+CO); FT0223-H2O","","","group9","corgroup9","",""
"FT0164",84.9597,62.3,NA,NA,NA,"","",NA,"corgroup115","",""
"FT0312",86.0965,122.9,NA,NA,"FT0315-HCOOH(H2+CO2 or H2O+CO)","","","group21",NA,"",""
"FT0498",89.0387,516.6,NA,NA,"FT0487-COOH; FT0488-CH3COOH; FT0492-CO; FT0493-CO+CO","FT0488_MS2 match; FT0492_MS2 match; FT0493_MS2 match; FT0494_MS2 match; FT0495_MS2 match; FT0501_MS2 match; FT0519_MS2 match","","group43","corgroup146","+",""
"FT0193",90.9766,65.8,NA,NA,NA,"FT0185_MS2 match","","group6","corgroup106","+",""
"FT0385",91.0542,491.2,NA,NA,"FT0371-CO; FT0372-CO+CO","Precursor; FT0371_MS2 match; FT0372_MS2 match; FT0375_MS2 match; FT0382_MS2 match; FT0385_MS2 match; FT0386_MS2 match; FT0393_MS2 match","","group37","corgroup125","+",""
"FT0555",91.0543,537.3,NA,NA,"FT0542-HCN+CO; FT0547-HCN","Precursor; FT0542_MS2 match; FT0547_MS2 match; FT0555_MS2 match; FT0557_MS2 match; FT0558_MS2 match","","group48","corgroup164","",""
"FT0728",91.0543,680.2,NA,NA,NA,"Precursor; FT0728_MS2 match; FT0731_MS2 match; FT0748_MS2 match; FT0751_MS2 match","","group69","corgroup172","+",""
"FT0422",92.0257,507.4,NA,NA,"FT0452-CO","Precursor; FT0422_MS2 match; FT0425_MS2 match; FT0435_MS2 match; FT0460_MS2 match","","group38","corgroup119","+",""
"FT0208",96.9218,67.6,NA,NA,NA,"","",NA,"corgroup106","",""
"FT0215",98.9516,69.1,NA,NA,NA,"","",NA,NA,"",""
"FT0293",101.0032,85.7,NA,NA,NA,"","",NA,"corgroup72","",""
"FT0640",102.0463,623.8,NA,NA,NA,"FT0661_MS2 match; FT0672_MS2 match","","group57","corgroup133","+",""
"FT0223",102.0549,71.6,NA,NA,"FT0221-CO; FT0224-HCOOH(H2+CO2 or H2O+CO); FT0228-Methyl isocyanate","","","group9",NA,"",""
"FT0326",103.0542,220.9,NA,NA,"FT0330-NH3","","","group24",NA,"",""
"FT0660",103.0543,623.9,NA,NA,"FT0656-HCN+CO; FT0661-HCN","FT0661_MS2 match; FT0663_MS2 match; FT0665_MS2 match; FT0668_MS2 match; FT0672_MS2 match","","group57","corgroup133","+",""
"FT0226",104.0706,71.7,NA,NA,"FT0224-CO2; FT0228-HCN+CO","","","group9","corgroup63","+",""
"FT0467",105.0335,507.5,NA,NA,NA,"FT0425_MS2 match; FT0435_MS2 match","","group38","corgroup119","+",""
"FT0729",105.0699,680.2,NA,NA,NA,"Precursor; FT0729_MS2 match; FT0748_MS2 match; FT0751_MS2 match","","group69","corgroup172","+",""
"FT0197",106.9505,66.1,NA,NA,NA,"","",NA,"corgroup107","",""
"FT0579",107.0492,559.4,NA,NA,"FT0580-CH2CO","Precursor; FT0579_MS2 match; FT0582_MS2 match; FT0584_MS2 match; FT0585_MS2 match; FT0588_MS2 match; FT0591_MS2 match; FT0596_MS2 match","[1][M]+","group50","corgroup156","+",""
"FT0594",108.0525,559.4,NA,NA,NA,"FT0579_MS2 match; FT0582_MS2 match; FT0585_MS2 match; FT0588_MS2 match; FT0591_MS2 match","[1][M+1]+","group50","corgroup156","+",""
